PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Los Angeles Rams,,8.2,DST,4500.0,
New Orleans Saints,,8.1,DST,4800.0,
Miami Dolphins,,8.1,DST,5000.0,
New York Giants,,7.5,DST,4300.0,
Cleveland Browns,,7.1,DST,4900.0,
Buffalo Bills,,6.5,DST,4100.0,
Cincinnati Bengals,,6.4,DST,3800.0,
Indianapolis Colts,,6.2,DST,4700.0,
Arizona Cardinals,,6.1,DST,4000.0,
Las Vegas Raiders,,6.0,DST,3600.0,
Kansas City Chiefs,,6.0,DST,4400.0,
Denver Broncos,,5.9,DST,3800.0,
Carolina Panthers,,5.9,DST,3500.0,
Minnesota Vikings,,5.8,DST,4200.0,
New England Patriots,,5.8,DST,3700.0,
New York Jets,,5.7,DST,3000.0,
Los Angeles Chargers,,5.7,DST,4100.0,
San Francisco 49ers,,5.6,DST,4000.0,
Tennessee Titans,,5.5,DST,3500.0,
Jacksonville Jaguars,,5.4,DST,3400.0,
Tampa Bay Buccaneers,,5.3,DST,3900.0,
Atlanta Falcons,,4.9,DST,3300.0,
