PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Tyreek Hill,KC,16.6,WR,8600.0,
Stefon Diggs,BUF,16.3,WR,7900.0,
Keenan Allen,LAC,16.0,WR,8200.0,
DeAndre Hopkins,ARI,15.6,WR,8500.0,
Justin Jefferson,MIN,15.1,WR,7000.0,
Calvin Ridley,ATL,14.3,WR,8100.0,
Robert Woods,LAR,13.9,WR,6800.0,
Cooper Kupp,LAR,13.6,WR,6700.0,
D.J. Moore,CAR,13.4,WR,7300.0,
A.J. Brown,TEN,13.2,WR,7500.0,
Michael Thomas,NO,13.2,WR,7700.0,
Robby Anderson,CAR,12.9,WR,6400.0,
DeVante Parker,MIA,12.5,WR,6500.0,
Chris Godwin,TB,12.1,WR,7400.0,
Mike Evans,TB,12.0,WR,7100.0,
Cole Beasley,BUF,11.9,WR,5400.0,
Jakobi Meyers,NE,11.5,WR,5800.0,
Tyler Boyd,CIN,11.2,WR,6900.0,
Sterling Shepard,NYG,11.1,WR,5400.0,
Christian Kirk,ARI,11.1,WR,6100.0,
Darius Slayton,NYG,11.0,WR,5900.0,
Michael Pittman Jr.,IND,11.0,WR,5700.0,
Mike Williams,LAC,11.0,WR,6100.0,
Curtis Samuel,CAR,10.8,WR,5900.0,
Antonio Brown,TB,10.7,WR,6500.0,
Tee Higgins,CIN,10.3,WR,6200.0,
Deebo Samuel,SF,10.1,WR,6000.0,
Tim Patrick,DEN,10.1,WR,5500.0,
Jarvis Landry,CLE,10.0,WR,5700.0,
Corey Davis,TEN,10.0,WR,6000.0,
Denzel Mims,NYJ,9.9,WR,5600.0,
Jamison Crowder,NYJ,9.8,WR,6300.0,
Laviska Shenault Jr.,JAC,9.7,WR,5000.0,
Nelson Agholor,LV,9.2,WR,5200.0,
Keelan Cole Sr.,JAC,8.8,WR,5300.0,
Breshad Perriman,NYJ,8.5,WR,5900.0,
Josh Reynolds,LAR,7.7,WR,5800.0,
T.Y. Hilton,IND,7.6,WR,5400.0,
Hunter Renfrow,LV,7.6,WR,5100.0,
Sammy Watkins,KC,7.5,WR,5600.0,
Damiere Byrd,NE,7.4,WR,5400.0,
Rashard Higgins,CLE,7.1,WR,5500.0,
A.J. Green,CIN,7.1,WR,5300.0,
Russell Gage,ATL,6.9,WR,5200.0,
Emmanuel Sanders,NO,6.9,WR,5600.0,
KJ Hamler,DEN,6.8,WR,5100.0,
Gabriel Davis,BUF,6.5,WR,4800.0,
Henry Ruggs III,LV,6.2,WR,5500.0,
Andy Isabella,ARI,6.1,WR,4700.0,
Kendrick Bourne,SF,5.9,WR,5200.0,
Mecole Hardman,KC,5.8,WR,5500.0,
Golden Tate,NYG,5.8,WR,5100.0,
Richie James Jr.,SF,5.7,WR,5100.0,
KhaDarel Hodge,CLE,5.0,WR,4500.0,
Demarcus Robinson,KC,4.7,WR,5300.0,
Olabisi Johnson,MIN,4.5,WR,4600.0,
Collin Johnson,JAC,4.5,WR,4600.0,
Chad Beebe,MIN,4.4,WR,4500.0,
Terry Godwin,JAC,4.4,WR,4500.0,
Tre'Quan Smith,NO,3.7,WR,5000.0,
Olamide Zaccheaus,ATL,3.6,WR,4600.0,
Jalen Guyton,LAC,3.6,WR,4700.0,
Isaiah McKenzie,BUF,3.5,WR,4700.0,
Auden Tate,CIN,3.4,WR,4500.0,
Donovan Peoples-Jones,CLE,3.3,WR,4700.0,
Braxton Berrios,NYJ,3.1,WR,4700.0,
Mack Hollins,MIA,3.0,WR,4600.0,
Austin Mack,NYG,2.9,WR,4700.0,
Bryan Edwards,LV,2.9,WR,4500.0,
Marcus Johnson,IND,2.9,WR,4700.0,
Isaiah Ford,NE,2.8,WR,4600.0,
Tyron Johnson,LAC,2.8,WR,4500.0,
Cam Batson,TEN,2.8,WR,4500.0,
DaeSean Hamilton,DEN,2.8,WR,4700.0,
Van Jefferson,LAR,2.6,WR,4600.0,
Lynn Bowden Jr.,MIA,2.6,WR,4500.0,
Alex Erickson,CIN,2.5,WR,4500.0,
Christian Blake,ATL,2.4,WR,4600.0,
Scotty Miller,TB,2.4,WR,5100.0,
Kalif Raymond,TEN,2.4,WR,4600.0,
DeMichael Harris,IND,2.2,WR,4600.0,
KeeSean Johnson,ARI,2.2,WR,4500.0,
Zay Jones,LV,2.1,WR,4600.0,
Donte Moncrief,NE,2.0,WR,4500.0,
Nick Westbrook-Ikhine,TEN,2.0,WR,4600.0,
Trent Taylor,SF,1.9,WR,4600.0,
Marquez Callaway,NO,1.8,WR,4700.0,
Jeff Smith,NYJ,1.6,WR,4500.0,
Brandon Powell,ATL,1.6,WR,4500.0,
Joe Reed,LAC,1.5,WR,4600.0,
C.J. Board,NYG,1.4,WR,4500.0,
K.J. Osborn,MIN,1.3,WR,4500.0,
Tajae Sharpe,MIN,1.3,WR,4500.0,
River Cracraft,SF,1.3,WR,4500.0,
Dan Chisena,MIN,1.3,WR,4500.0,
Tyler Johnson,TB,1.2,WR,4800.0,
Vyncint Smith,NYJ,1.2,WR,4500.0,
Andre Roberts,BUF,1.2,WR,4500.0,
Justin Watson,TB,0.9,WR,4500.0,
Tyrie Cleveland,DEN,0.7,WR,4500.0,
Nsimba Webster,LAR,0.7,WR,4500.0,
Gunner Olszewski,NE,0.6,WR,4500.0,
Ashton Dulin,IND,0.6,WR,4500.0,
Pharoh Cooper,CAR,0.2,WR,4500.0,
K.J. Hill,LAC,0.2,WR,4500.0,
Kirk Merritt,MIA,0.0,WR,4500.0,
