PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Mark Andrews,BAL,10.9,TE,6500.0,
T.J. Hockenson,DET,10.6,TE,6000.0,
Eric Ebron,PIT,8.9,TE,5400.0,
Hunter Henry,LAC,8.6,TE,5500.0,
Dallas Goedert,PHI,7.9,TE,5800.0,
Hayden Hurst,ATL,7.9,TE,5500.0,
Austin Hooper,CLE,7.5,TE,5100.0,
Jonnu Smith,TEN,6.8,TE,5800.0,
Mike Gesicki,MIA,6.8,TE,5300.0,
Logan Thomas,WAS,6.4,TE,5200.0,
Dalton Schultz,DAL,6.4,TE,5000.0,
Jared Cook,NO,6.3,TE,6100.0,
Robert Tonyan,GB,5.8,TE,5600.0,
Trey Burton,IND,5.0,TE,5200.0,
Tyler Eifert,JAC,4.8,TE,4600.0,
Kyle Rudolph,MIN,4.6,TE,4500.0,
Anthony Firkser,TEN,4.4,TE,4800.0,
Darren Fells,HOU,4.4,TE,5000.0,
Jordan Akins,HOU,4.2,TE,4900.0,
Drew Sample,CIN,4.0,TE,4600.0,
Mo Alie-Cox,IND,3.9,TE,4900.0,
Richard Rodgers,PHI,3.6,TE,5000.0,
Ian Thomas,CAR,3.5,TE,4500.0,
Jack Doyle,IND,3.3,TE,4700.0,
David Njoku,CLE,3.2,TE,4800.0,
Harrison Bryant,CLE,3.2,TE,4700.0,
Durham Smythe,MIA,3.0,TE,4300.0,
Chris Herndon IV,NYJ,2.9,TE,4300.0,
Adam Shaheen,MIA,2.6,TE,4300.0,
Jesse James,DET,2.6,TE,4300.0,
Ryan Griffin,NYJ,2.5,TE,4100.0,
Troy Fumagalli,DEN,2.4,TE,4000.0,
Donald Parham Jr.,LAC,2.3,TE,4300.0,
Sean Culkin,BAL,2.2,TE,4000.0,
Ben Ellefson,JAC,2.1,TE,4000.0,
Tyler Conklin,MIN,2.0,TE,4000.0,
Xavier Grimble,BAL,1.9,TE,4000.0,
Marcedes Lewis,GB,1.9,TE,4200.0,
Jace Sternberger,GB,1.9,TE,4400.0,
Pharaoh Brown,HOU,1.8,TE,4200.0,
Farrod Green,IND,1.7,TE,4000.0,
Jason Croom,PHI,1.7,TE,4100.0,
Caleb Wilson,PHI,1.6,TE,4000.0,
Nick Vannett,DEN,1.5,TE,4200.0,
Mason Schreck,CIN,1.5,TE,4000.0,
Adam Trautman,NO,1.5,TE,4200.0,
Blake Bell,DAL,1.5,TE,4000.0,
Cethan Carter,CIN,1.5,TE,4000.0,
Geoff Swaim,TEN,1.3,TE,4000.0,
Jeremy Sprinkle,WAS,1.3,TE,4100.0,
Zach Gentry,PIT,1.2,TE,4000.0,
Isaac Nauta,DET,1.2,TE,4000.0,
Temarrick Hemingway,WAS,1.2,TE,4000.0,
Luke Stocker,ATL,1.2,TE,4000.0,
Jaeden Graham,ATL,1.1,TE,4000.0,
Jordan Thomas,NE,1.0,TE,4200.0,
Eric Saubert,JAC,0.9,TE,4000.0,
Chris Myarick,MIA,0.9,TE,4000.0,
Stephen Anderson,LAC,0.6,TE,4000.0,
Sean McKeon,DAL,0.3,TE,4000.0,
Stephen Carlson,CLE,0.2,TE,4000.0,
Daniel Brown,NYJ,0.1,TE,4000.0,
