PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Dalvin Cook,MIN,21.6,RB,10500.0,
Alvin Kamara,NO,17.7,RB,9700.0,
Aaron Jones,GB,15.6,RB,8200.0,
Derrick Henry,TEN,15.4,RB,8200.0,
James Robinson,JAC,15.1,RB,7200.0,
Mike Davis,CAR,15.1,RB,7400.0,
Miles Sanders,PHI,14.5,RB,7700.0,
Ezekiel Elliott,DAL,14.3,RB,8000.0,
Nick Chubb,CLE,14.2,RB,8100.0,
James Conner,PIT,14.1,RB,7000.0,
Antonio Gibson,WAS,12.5,RB,6500.0,
Giovani Bernard,CIN,12.2,RB,6300.0,
Kalen Ballage,LAC,11.9,RB,5800.0,
Todd Gurley II,ATL,11.8,RB,6700.0,
Duke Johnson Jr.,HOU,11.8,RB,6000.0,
Kareem Hunt,CLE,11.3,RB,6700.0,
Adrian Peterson,DET,10.5,RB,5100.0,
Melvin Gordon III,DEN,10.4,RB,6400.0,
Salvon Ahmed,MIA,10.4,RB,5600.0,
J.D. McKissic,WAS,9.8,RB,5600.0,
Nyheim Hines,IND,9.2,RB,6100.0,
Jonathan Taylor,IND,8.8,RB,5700.0,
La'Mical Perine,NYJ,8.6,RB,5400.0,
Rex Burkhead,NE,8.1,RB,5900.0,
Kerryon Johnson,DET,7.2,RB,4800.0,
Jamaal Williams,GB,7.2,RB,5300.0,
J.K. Dobbins,BAL,7.2,RB,5500.0,
Latavius Murray,NO,6.5,RB,5000.0,
James White,NE,6.3,RB,5300.0,
Phillip Lindsay,DEN,6.3,RB,5400.0,
Joshua Kelley,LAC,6.3,RB,5200.0,
Mark Ingram II,BAL,5.9,RB,5900.0,
Jordan Wilkins,IND,5.8,RB,5300.0,
Matt Breida,MIA,5.5,RB,4600.0,
Gus Edwards,BAL,5.4,RB,5500.0,
Tony Pollard,DAL,5.4,RB,4800.0,
Alexander Mattison,MIN,5.1,RB,6100.0,
Brian Hill,ATL,5.0,RB,5000.0,
Frank Gore,NYJ,4.7,RB,5000.0,
Boston Scott,PHI,4.6,RB,5200.0,
Samaje Perine,CIN,4.1,RB,4700.0,
Malcolm Perry,MIA,3.6,RB,4500.0,
Benny Snell Jr.,PIT,3.2,RB,4900.0,
Sony Michel,NE,3.1,RB,5100.0,
Troymaine Pope,LAC,3.1,RB,4500.0,
DeAndre Washington,MIA,3.0,RB,4500.0,
C.J. Prosise,HOU,3.0,RB,4500.0,
D'Onta Foreman,TEN,2.8,RB,4900.0,
Anthony McFarland Jr.,PIT,2.7,RB,4500.0,
Peyton Barber,WAS,2.5,RB,4500.0,
Royce Freeman,DEN,2.5,RB,4800.0,
Ty Johnson,NYJ,2.3,RB,4500.0,
Jonathan Williams,DET,2.2,RB,4500.0,
Jakob Johnson,NE,2.2,RB,4500.0,
Dare Ogunbowale,JAC,2.2,RB,4500.0,
Jeremy McNichols,TEN,2.1,RB,4700.0,
Patrick Laird,MIA,2.1,RB,4800.0,
Devine Ozigbo,JAC,2.0,RB,4600.0,
Trenton Cannon,CAR,2.0,RB,4700.0,
Dontrell Hilliard,CLE,2.0,RB,4500.0,
Buddy Howell,HOU,1.9,RB,4600.0,
Ty Montgomery,NO,1.9,RB,4600.0,
Justice Hill,BAL,1.8,RB,4500.0,
Trayveon Williams,CIN,1.8,RB,4500.0,
Ameer Abdullah,MIN,1.8,RB,4500.0,
Ito Smith,ATL,1.5,RB,4800.0,
Alex Armah,CAR,1.4,RB,5000.0,
Josh Adams,NYJ,1.4,RB,4500.0,
D'Ernest Johnson,CLE,1.4,RB,4600.0,
C.J. Ham,MIN,1.4,RB,4500.0,
Qadree Ollison,ATL,1.3,RB,4700.0,
Mike Boone,MIN,1.2,RB,4600.0,
Patrick Ricard,BAL,0.9,RB,4500.0,
Gabe Nabers,LAC,0.9,RB,4700.0,
Michael Burton,NO,0.8,RB,4500.0,
Rico Dowdle,DAL,0.8,RB,4500.0,
Chandler Cox,MIA,0.8,RB,4500.0,
Keith Smith,ATL,0.6,RB,4500.0,
Khari Blasingame,TEN,0.4,RB,4500.0,
Derek Watt,PIT,0.3,RB,4500.0,
Sewo Olonilua,DAL,0.2,RB,4500.0,
Senorise Perry,TEN,0.2,RB,4500.0,
Scottie Phillips,HOU,0.2,RB,4500.0,
