"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Miami Dolphins","","2.9","1.2","0.7","1.2","0.2","0.0","16.9","325.5","8.9"
"Seattle Seahawks","","3.2","1.1","0.7","1.2","0.2","0.0","18.4","324.3","8.9"
"Pittsburgh Steelers","","3.6","0.9","0.7","1.0","0.1","0.1","18.1","300.8","8.7"
"Baltimore Ravens","","2.8","1.0","0.8","1.3","0.2","0.0","17.8","325.8","8.6"
"Green Bay Packers","","3.1","1.1","0.7","0.9","0.1","0.0","19.8","335.7","8.4"
"Kansas City Chiefs","","2.1","1.3","0.6","0.9","0.2","0.0","18.6","337.8","8.1"
"Las Vegas Raiders","","2.4","1.1","0.5","0.8","0.2","0.0","18.9","291.9","7.5"
"Chicago Bears","","2.6","0.8","0.6","0.8","0.1","0.0","19.5","332.3","7.3"
"New Orleans Saints","","2.9","1.0","0.5","0.8","0.1","0.0","21.4","345.4","6.8"
"Buffalo Bills","","2.5","1.1","0.6","1.1","0.2","0.0","22.7","358.8","6.8"
"Indianapolis Colts","","2.7","0.8","0.6","0.9","0.1","0.1","22.3","344.3","6.6"
"Minnesota Vikings","","2.2","0.7","0.5","0.8","0.1","0.0","19.2","336.4","6.6"
"New York Giants","","2.9","0.8","0.6","0.8","0.1","0.0","27.1","379.2","6.6"
"Los Angeles Rams","","2.7","0.8","0.6","0.9","0.1","0.0","22.2","349.6","6.4"
"Dallas Cowboys","","2.5","0.9","0.6","0.9","0.1","0.0","25.5","345.1","6.4"
"San Francisco 49ers","","2.4","0.9","0.6","1.1","0.1","0.0","22.3","350.1","6.4"
"Atlanta Falcons","","2.7","0.8","0.6","0.9","0.1","0.0","23.5","348.9","6.4"
"Detroit Lions","","2.4","0.9","0.6","0.9","0.1","0.0","22.9","339.1","6.3"
"Tennessee Titans","","2.1","0.9","0.5","0.7","0.2","0.0","21.9","346.0","6.0"
"Cincinnati Bengals","","2.3","0.9","0.5","0.6","0.1","0.0","25.6","344.8","5.9"
"Arizona Cardinals","","2.1","0.8","0.6","0.9","0.1","0.0","23.4","379.4","5.8"
"New England Patriots","","2.2","0.8","0.6","0.8","0.1","0.0","23.7","397.2","5.8"
"Los Angeles Chargers","","2.2","0.9","0.5","0.5","0.1","0.0","21.8","341.8","5.8"
"Houston Texans","","1.9","0.8","0.6","0.8","0.1","0.0","24.6","380.9","5.4"
"Cleveland Browns","","2.3","0.7","0.5","0.8","0.1","0.0","26.8","367.2","5.4"
"Washington Football Team","","1.9","0.8","0.6","0.9","0.1","0.0","25.6","346.4","5.3"
"New York Jets","","2.0","0.6","0.7","1.0","0.1","0.0","25.1","360.7","5.3"
"Jacksonville Jaguars","","2.0","0.7","0.5","0.8","0.1","0.0","28.2","383.1","5.2"
"Philadelphia Eagles","","2.3","0.5","0.6","0.8","0.1","0.0","27.3","363.8","5.1"
"Denver Broncos","","2.1","0.6","0.5","0.7","0.1","0.0","29.2","389.3","4.8"
""
""
