"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Dalvin Cook","MIN","22.2","108.5","1.0","3.4","29.9","0.1","0.2","22.0"
"Derrick Henry","TEN","21.9","103.7","0.9","1.5","12.5","0.1","0.1","18.2"
"Austin Ekeler","LAC","12.0","55.5","0.4","5.3","48.8","0.3","0.1","17.2"
"James Robinson","JAC","19.3","82.7","0.6","3.4","25.4","0.1","0.1","16.6"
"Aaron Jones","GB","14.1","64.7","0.7","3.4","25.6","0.1","0.1","15.6"
"Alvin Kamara","NO","11.5","52.9","0.6","4.2","38.1","0.1","0.1","15.4"
"Myles Gaskin","MIA","15.3","66.1","0.5","3.5","25.8","0.1","0.1","14.5"
"Nick Chubb","CLE","16.3","82.4","0.6","1.4","9.8","0.0","0.1","13.7"
"Chris Carson","SEA","14.3","62.1","0.5","2.7","20.2","0.2","0.1","13.5"
"Miles Sanders","PHI","13.4","64.6","0.4","2.9","25.0","0.1","0.1","13.4"
"Raheem Mostert","SF","13.4","67.2","0.6","1.9","15.8","0.1","0.1","13.3"
"Devontae Booker","LV","15.8","63.1","0.6","2.6","20.2","0.1","0.1","13.3"
"David Montgomery","CHI","16.4","64.7","0.4","2.8","22.3","0.1","0.1","13.0"
"Antonio Gibson","WAS","13.4","58.1","0.6","2.9","20.0","0.0","0.1","12.8"
"Kenyan Drake","ARI","14.9","63.5","0.6","2.0","14.6","0.1","0.1","12.5"
"Ezekiel Elliott","DAL","16.7","68.7","0.3","3.0","22.0","0.1","0.1","12.5"
"Wayne Gallman","NYG","14.8","59.6","0.6","2.0","13.6","0.1","0.1","12.1"
"Jonathan Taylor","IND","13.5","55.6","0.5","2.3","19.1","0.1","0.1","11.9"
"Clyde Edwards-Helaire","KC","13.8","56.5","0.3","2.4","18.8","0.1","0.0","11.0"
"Nyheim Hines","IND","6.0","25.2","0.2","4.1","34.1","0.3","0.0","11.0"
"Damien Harris","NE","14.6","65.6","0.5","0.8","6.9","0.0","0.1","10.9"
"Melvin Gordon III","DEN","12.6","51.3","0.4","2.3","16.6","0.1","0.1","10.7"
"David Johnson","HOU","12.5","47.7","0.4","2.2","20.7","0.1","0.1","10.6"
"Kareem Hunt","CLE","9.5","43.0","0.2","2.8","23.9","0.2","0.0","10.4"
"Giovani Bernard","CIN","12.4","48.0","0.2","2.8","24.0","0.1","0.0","10.2"
"J.K. Dobbins","BAL","10.4","58.3","0.3","1.9","14.7","0.1","0.0","10.1"
"Frank Gore","NYJ","15.1","61.3","0.2","1.8","11.6","0.1","0.0","9.8"
"Latavius Murray","NO","11.7","47.6","0.5","1.3","9.0","0.0","0.0","9.3"
"Todd Gurley II","ATL","13.3","49.2","0.3","2.0","14.2","0.1","0.1","9.3"
"Benny Snell Jr.","PIT","12.7","54.2","0.4","1.1","7.5","0.0","0.1","8.8"
"James White","NE","4.9","18.7","0.1","4.2","34.2","0.1","0.0","8.7"
"Adrian Peterson","DET","13.3","52.2","0.2","1.3","8.3","0.0","0.1","8.2"
"Kerryon Johnson","DET","8.3","34.5","0.1","2.8","20.9","0.1","0.1","8.1"
