"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Devin Singletary","BUF","8.8","40.7","0.1","2.4","18.0","0.1","0.1","8.0"
"J.D. McKissic","WAS","4.0","16.3","0.1","4.2","31.3","0.1","0.1","7.9"
"Chase Edmonds","ARI","5.7","26.7","0.1","3.3","23.9","0.1","0.0","7.8"
"Zack Moss","BUF","10.4","41.4","0.2","1.6","11.6","0.1","0.1","7.6"
"Jamaal Williams","GB","9.8","36.9","0.2","1.9","13.8","0.1","0.0","7.3"
"Darrell Henderson","LAR","9.4","40.3","0.2","1.4","11.2","0.0","0.0","7.2"
"Duke Johnson Jr.","HOU","4.6","21.0","0.1","2.8","24.7","0.1","0.1","6.8"
"Carlos Hyde","SEA","9.4","36.3","0.2","1.9","9.5","0.0","0.1","6.5"
"Phillip Lindsay","DEN","10.1","41.5","0.1","1.0","5.4","0.0","0.0","6.0"
"Cam Akers","LAR","9.7","38.4","0.2","0.9","5.5","0.0","0.0","6.0"
"Le'Veon Bell","KC","7.6","26.6","0.1","2.0","12.1","0.0","0.1","5.7"
"Malcolm Brown","LAR","6.4","27.7","0.1","1.6","10.9","0.0","0.0","5.6"
"Gus Edwards","BAL","8.4","37.7","0.2","0.6","3.6","0.0","0.0","5.5"
"Jerick McKinnon","SF","4.7","17.4","0.1","2.3","17.1","0.1","0.0","5.3"
"Jalen Richard","LV","6.1","22.6","0.1","1.8","12.5","0.0","0.1","5.1"
"Brian Hill","ATL","6.5","27.3","0.1","1.4","9.5","0.0","0.1","4.9"
"Cordarrelle Patterson","CHI","4.2","19.5","0.1","1.3","12.6","0.1","0.0","4.9"
"James Conner","PIT","5.8","24.0","0.2","1.3","7.3","0.0","0.1","4.8"
"Jordan Wilkins","IND","5.8","28.6","0.1","1.0","6.3","0.0","0.0","4.8"
"Tony Pollard","DAL","6.3","27.7","0.1","1.3","8.2","0.0","0.0","4.8"
"Boston Scott","PHI","4.3","17.2","0.1","1.8","13.3","0.0","0.0","4.7"
"Mark Ingram II","BAL","6.3","25.1","0.1","0.8","5.4","0.0","0.0","4.4"
"Ty Johnson","NYJ","4.5","19.7","0.1","1.7","8.3","0.0","0.0","4.3"
"Anthony McFarland Jr.","PIT","5.5","20.9","0.1","1.2","6.9","0.0","0.0","4.1"
"Kalen Ballage","LAC","5.7","18.3","0.1","1.3","7.8","0.0","0.1","4.0"
"Patrick Laird","MIA","4.6","16.0","0.1","1.3","9.3","0.0","0.0","3.8"
"Joshua Kelley","LAC","5.3","19.6","0.1","1.2","7.7","0.0","0.1","3.7"
"Samaje Perine","CIN","5.6","20.7","0.1","1.1","6.6","0.0","0.0","3.6"
"Tevin Coleman","SF","3.7","18.0","0.1","0.7","5.6","0.0","0.0","3.6"
"Jeff Wilson Jr.","SF","6.3","24.1","0.1","0.6","3.0","0.0","0.1","3.5"
"Ito Smith","ATL","4.2","16.3","0.0","1.3","8.8","0.0","0.0","3.5"
"Dion Lewis","NYG","2.0","7.4","0.0","1.8","12.0","0.0","0.0","3.1"
"Jeremy McNichols","TEN","3.7","15.7","0.0","1.0","6.4","0.0","0.0","3.0"
"Mike Boone","MIN","4.3","17.7","0.1","0.6","3.0","0.0","0.0","2.9"
"Peyton Barber","WAS","5.9","20.0","0.1","0.5","1.9","0.0","0.0","2.9"
"Alfred Morris","NYG","4.2","18.4","0.1","0.5","2.4","0.0","0.0","2.8"
"Justice Hill","BAL","3.6","11.3","0.1","0.8","3.8","0.0","0.0","2.8"
"Royce Freeman","DEN","3.5","11.9","0.0","1.3","6.0","0.0","0.0","2.6"
"Sony Michel","NE","3.4","15.3","0.1","0.6","2.7","0.0","0.0","2.6"
"Malcolm Perry","MIA","0.6","2.7","0.0","1.1","12.1","0.1","0.0","2.5"
"Kyle Juszczyk","SF","0.9","3.4","0.0","1.3","11.6","0.1","0.0","2.5"
"D'Onta Foreman","TEN","4.2","16.3","0.0","0.6","2.9","0.0","0.0","2.4"
"Darrel Williams","KC","1.8","6.8","0.0","1.2","7.6","0.0","0.0","2.4"
"Devine Ozigbo","JAC","3.0","9.5","0.0","1.0","6.3","0.0","0.0","2.3"
"Lynn Bowden Jr.","MIA","2.0","8.1","0.0","0.9","5.9","0.0","0.0","2.2"
"Jonathan Williams","DET","2.3","7.5","0.0","1.2","5.7","0.0","0.1","2.1"
"DeeJay Dallas","SEA","2.4","8.1","0.0","0.9","5.5","0.0","0.0","2.1"
"Alec Ingold","LV","0.5","1.3","0.0","1.1","8.7","0.1","0.0","2.0"
"Theo Riddick","LV","2.1","7.3","0.1","0.7","4.2","0.0","0.0","2.0"
"Tyler Ervin","GB","1.5","6.3","0.0","0.8","5.5","0.0","0.0","1.9"
"Troymaine Pope","LAC","2.0","7.4","0.0","1.0","5.6","0.0","0.0","1.9"
"Josh Adams","NYJ","2.7","9.4","0.0","0.7","2.3","0.0","0.0","1.7"
"Ameer Abdullah","MIN","1.5","6.5","0.0","0.8","4.9","0.0","0.0","1.7"
"Ryan Nall","CHI","1.1","3.8","0.0","0.9","6.3","0.0","0.0","1.6"
"Dare Ogunbowale","JAC","0.9","1.5","0.0","1.1","7.1","0.0","0.0","1.6"
"Trayveon Williams","CIN","2.1","7.4","0.0","0.6","3.4","0.0","0.0","1.5"
"Corey Clement","PHI","1.7","5.8","0.0","0.7","3.4","0.0","0.0","1.4"
"Jordan Howard","PHI","2.5","8.1","0.1","0.4","0.8","0.0","0.0","1.4"
"Jaylen Samuels","PIT","1.2","3.6","0.0","0.7","3.8","0.0","0.0","1.2"
"Jakob Johnson","NE","1.0","3.1","0.0","0.7","4.3","0.0","0.0","1.0"
"C.J. Ham","MIN","0.7","1.8","0.0","0.6","4.3","0.0","0.0","1.0"
"Darwin Thompson","KC","1.1","4.3","0.0","0.6","1.9","0.0","0.0","1.0"
"AJ Dillon","GB","1.7","4.9","0.0","0.7","1.6","0.0","0.0","1.0"
"Xavier Jones","LAR","0.0","2.0","0.0","0.4","3.1","0.0","0.0","0.9"
"Nathan Cottrell","JAC","0.0","2.3","0.0","0.3","2.9","0.0","0.0","0.8"
"Buddy Howell","HOU","1.0","3.1","0.0","0.4","1.7","0.0","0.0","0.8"
"Jeremy Cox","DEN","1.2","3.6","0.0","0.5","1.5","0.0","0.0","0.7"
"Keith Smith","ATL","0.7","1.1","0.0","0.6","2.4","0.0","0.0","0.7"
"Khari Blasingame","TEN","0.6","1.2","0.0","0.4","3.2","0.0","0.0","0.7"
"D'Ernest Johnson","CLE","1.1","3.3","0.0","0.4","1.4","0.0","0.0","0.7"
"Patrick Ricard","BAL","0.1","0.2","0.0","0.3","1.6","0.1","0.0","0.7"
"Elijhaa Penny","NYG","1.2","2.7","0.0","0.4","1.3","0.0","0.0","0.6"
"Dwayne Washington","NO","1.9","3.3","0.0","0.4","0.8","0.0","0.0","0.6"
"Reggie Gilliam","BUF","1.0","2.8","0.0","0.4","1.2","0.0","0.0","0.6"
"Michael Burton","NO","0.8","2.2","0.0","0.3","0.8","0.0","0.0","0.5"
"Gabe Nabers","LAC","0.1","0.1","0.0","0.3","2.1","0.0","0.0","0.5"
"Qadree Ollison","ATL","0.9","2.3","0.0","0.3","0.7","0.0","0.0","0.4"
"Rico Dowdle","DAL","0.2","1.8","0.0","0.2","0.8","0.0","0.0","0.4"
"Scottie Phillips","HOU","0.3","0.7","0.0","0.2","1.6","0.0","0.0","0.4"
"Taiwan Jones","BUF","0.0","0.1","0.0","0.2","1.9","0.0","0.0","0.4"
"D.J. Foster","ARI","0.2","0.3","0.0","0.2","1.7","0.0","0.0","0.4"
"Nick Bellore","SEA","0.1","0.0","0.0","0.2","1.5","0.0","0.0","0.3"
"Chandler Cox","MIA","0.0","0.0","0.0","0.2","1.0","0.0","0.0","0.3"
"Jason Cabinda","DET","0.0","0.0","0.0","0.2","2.0","0.0","0.0","0.3"
"Andy Janovich","CLE","0.5","0.3","0.0","0.3","0.8","0.0","0.0","0.3"
"Anthony Sherman","KC","0.4","0.5","0.0","0.2","0.9","0.0","0.0","0.3"
"Derek Watt","PIT","0.1","0.2","0.0","0.1","0.8","0.0","0.0","0.2"
"Artavis Pierce","CHI","0.3","0.8","0.0","0.1","0.6","0.0","0.0","0.2"
"Lamar Miller","CHI","0.7","0.9","0.0","0.1","0.2","0.0","0.0","0.2"
"J.J. Taylor","NE","0.2","0.6","0.0","0.1","0.2","0.0","0.0","0.1"
"Dontrell Hilliard","CLE","0.2","0.6","0.0","0.1","0.2","0.0","0.0","0.1"
"Austin Walter","SF","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.1"
"Senorise Perry","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tony Brooks-James","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
