"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","7.5","91.8","0.9","0.0","0.0","0.0","0.1","17.9"
"Tyreek Hill","KC","6.0","87.2","0.8","1.0","6.0","0.1","0.1","17.5"
"D.K. Metcalf","SEA","5.4","89.4","0.7","0.0","0.1","0.0","0.1","15.9"
"Adam Thielen","MIN","5.8","76.1","0.7","0.2","1.1","0.0","0.1","15.0"
"Keenan Allen","LAC","7.0","80.5","0.6","0.1","0.6","0.0","0.1","14.9"
"Stefon Diggs","BUF","6.7","83.2","0.5","0.2","1.0","0.0","0.1","14.8"
"A.J. Brown","TEN","4.7","78.3","0.7","0.1","1.0","0.0","0.0","14.6"
"Justin Jefferson","MIN","5.0","82.8","0.6","0.0","0.0","0.0","0.0","14.5"
"Robert Woods","LAR","6.1","72.8","0.4","1.4","9.1","0.1","0.1","14.4"
"Allen Robinson II","CHI","6.3","78.7","0.6","0.1","0.1","0.0","0.1","14.3"
"DeAndre Hopkins","ARI","6.5","79.6","0.5","0.0","0.1","0.0","0.1","14.2"
"Tyler Lockett","SEA","5.7","72.7","0.6","0.2","1.0","0.0","0.0","14.0"
"Brandin Cooks","HOU","5.7","79.8","0.5","0.2","0.9","0.0","0.0","13.7"
"Terry McLaurin","WAS","5.7","81.2","0.5","0.2","1.1","0.0","0.1","13.7"
"Calvin Ridley","ATL","5.2","73.9","0.6","0.2","1.2","0.0","0.1","13.6"
"Cooper Kupp","LAR","6.2","73.8","0.5","0.2","1.4","0.0","0.0","13.6"
"Michael Thomas","NO","6.1","77.5","0.4","0.1","0.1","0.0","0.1","13.3"
"DeVante Parker","MIA","4.9","71.5","0.6","0.0","0.0","0.0","0.0","13.0"
"Julio Jones","ATL","5.1","74.7","0.4","0.0","0.2","0.0","0.0","12.5"
"Diontae Johnson","PIT","5.8","65.8","0.5","0.2","1.4","0.0","0.1","12.4"
"Deebo Samuel","SF","5.3","65.5","0.4","1.0","6.7","0.1","0.0","12.3"
"Jarvis Landry","CLE","5.3","68.1","0.4","0.2","1.1","0.0","0.0","12.1"
"Amari Cooper","DAL","5.6","68.1","0.4","0.1","0.7","0.0","0.1","12.1"
"Marvin Jones Jr.","DET","4.6","60.1","0.5","0.0","0.0","0.0","0.0","11.3"
"JuJu Smith-Schuster","PIT","5.3","58.7","0.5","0.0","0.1","0.0","0.1","11.1"
"Chase Claypool","PIT","4.3","56.9","0.4","0.9","4.1","0.1","0.0","11.0"
"Jakobi Meyers","NE","5.2","64.5","0.3","0.1","0.2","0.0","0.0","10.9"
"D.J. Chark Jr.","JAC","4.8","59.4","0.4","0.0","0.3","0.0","0.0","10.9"
"Michael Pittman Jr.","IND","4.5","57.7","0.4","0.2","1.3","0.0","0.0","10.4"
"Denzel Mims","NYJ","4.6","60.6","0.3","0.1","0.5","0.0","0.0","10.4"
"Tyler Boyd","CIN","5.3","62.2","0.2","0.3","2.4","0.0","0.0","10.3"
"Corey Davis","TEN","4.4","60.5","0.3","0.1","0.5","0.0","0.0","10.2"
"Nelson Agholor","LV","4.1","53.1","0.5","0.1","0.5","0.0","0.0","10.1"
"Cole Beasley","BUF","4.9","57.5","0.3","0.0","0.0","0.0","0.0","9.9"
"Tee Higgins","CIN","4.2","61.6","0.2","0.4","2.3","0.0","0.0","9.7"
"Tim Patrick","DEN","4.0","55.6","0.3","0.0","0.2","0.0","0.0","9.6"
"CeeDee Lamb","DAL","4.7","54.8","0.2","0.6","3.1","0.0","0.1","9.5"
"Sterling Shepard","NYG","5.1","54.9","0.2","0.3","2.3","0.0","0.0","9.3"
"Darius Slayton","NYG","3.6","53.0","0.3","0.1","0.6","0.0","0.0","9.2"
"Breshad Perriman","NYJ","3.6","55.0","0.3","0.1","0.2","0.0","0.0","9.1"
"Jerry Jeudy","DEN","4.0","57.0","0.2","0.0","0.0","0.0","0.0","9.0"
"Sammy Watkins","KC","3.8","49.2","0.4","0.1","0.6","0.0","0.0","9.0"
"Christian Kirk","ARI","4.4","51.8","0.2","0.3","1.8","0.0","0.0","9.0"
"Jamison Crowder","NYJ","4.6","52.6","0.2","0.1","0.3","0.0","0.0","8.9"
"Brandon Aiyuk","SF","3.8","51.2","0.3","0.5","2.7","0.0","0.0","8.8"
"Mike Williams","LAC","3.4","53.7","0.3","0.2","0.8","0.0","0.0","8.7"
"Marquise Brown","BAL","3.6","48.7","0.3","0.2","1.4","0.0","0.0","8.5"
"Allen Lazard","GB","3.4","47.1","0.3","0.2","1.6","0.0","0.0","8.1"
"T.Y. Hilton","IND","3.6","51.0","0.2","0.0","0.0","0.0","0.0","8.0"
"Keke Coutee","HOU","4.2","45.4","0.2","0.1","0.4","0.0","0.1","7.9"
"Hunter Renfrow","LV","3.8","47.8","0.2","0.0","0.0","0.0","0.0","7.9"
"Damiere Byrd","NE","3.6","46.8","0.2","0.1","0.8","0.0","0.0","7.6"
"Josh Reynolds","LAR","3.6","47.3","0.2","0.1","0.6","0.0","0.0","7.6"
"Rashard Higgins","CLE","3.1","46.1","0.2","0.0","0.1","0.0","0.0","7.5"
"Keelan Cole Sr.","JAC","3.6","46.4","0.2","0.1","0.3","0.0","0.0","7.4"
"Michael Gallup","DAL","3.3","47.7","0.2","0.0","0.0","0.0","0.0","7.3"
"Gabriel Davis","BUF","3.1","44.7","0.2","0.1","0.2","0.0","0.0","7.3"
"Darnell Mooney","CHI","3.6","43.9","0.2","0.1","0.0","0.0","0.0","7.1"
"Laviska Shenault Jr.","JAC","3.4","37.9","0.1","1.4","6.6","0.0","0.1","7.0"
"Jalen Reagor","PHI","3.5","42.9","0.1","0.1","0.8","0.0","0.0","7.0"
"Travis Fulgham","PHI","3.2","41.8","0.2","0.0","0.2","0.0","0.0","6.9"
"Danny Amendola","DET","3.5","42.5","0.1","0.1","0.3","0.0","0.0","6.8"
"Henry Ruggs III","LV","2.8","40.7","0.2","0.7","3.1","0.0","0.0","6.8"
"Anthony Miller","CHI","3.3","40.2","0.2","0.1","0.4","0.0","0.0","6.7"
"Golden Tate","NYG","3.4","38.9","0.2","0.1","0.3","0.0","0.0","6.6"
"Dez Bryant","BAL","2.8","36.2","0.2","0.1","0.5","0.0","0.0","6.3"
"Russell Gage","ATL","3.7","37.7","0.1","0.1","0.2","0.0","0.0","6.3"
"Emmanuel Sanders","NO","3.0","38.9","0.1","0.0","0.3","0.0","0.0","6.2"
"KJ Hamler","DEN","3.0","36.3","0.1","0.5","2.5","0.0","0.0","6.2"
"Jakeem Grant","MIA","3.0","34.2","0.2","0.2","1.2","0.0","0.0","6.0"
"Zach Pascal","IND","2.8","35.9","0.1","0.1","0.5","0.0","0.0","6.0"
"Willie Snead IV","BAL","3.1","36.0","0.1","0.0","0.1","0.0","0.0","5.9"
"Marquez Valdes-Scantling","GB","2.4","37.5","0.2","0.2","1.0","0.0","0.0","5.9"
"A.J. Green","CIN","2.8","38.4","0.1","0.0","0.0","0.0","0.0","5.9"
"Andy Isabella","ARI","2.8","36.0","0.1","0.1","0.2","0.0","0.0","5.7"
"David Moore","SEA","2.2","30.8","0.2","0.4","2.3","0.0","0.0","5.6"
"Mecole Hardman","KC","2.1","33.1","0.2","0.2","0.8","0.0","0.0","5.5"
"Cordarrelle Patterson","CHI","1.6","14.8","0.1","4.2","19.0","0.1","0.0","5.3"
"Devin Duvernay","BAL","2.4","28.8","0.1","0.4","2.5","0.0","0.0","5.1"
"Adam Humphries","TEN","2.7","28.8","0.1","0.1","0.2","0.0","0.0","5.1"
"N'Keal Harry","NE","2.7","27.5","0.1","0.4","2.2","0.0","0.0","5.0"
"Demarcus Robinson","KC","2.4","27.4","0.2","0.0","0.0","0.0","0.0","4.8"
"Greg Ward","PHI","2.9","26.3","0.1","0.2","0.4","0.0","0.0","4.8"
"Kendrick Bourne","SF","2.2","28.3","0.1","0.0","0.0","0.0","0.0","4.7"
"Cam Sims","WAS","2.0","27.6","0.1","0.0","0.3","0.0","0.0","4.3"
"Mohamed Sanu","DET","2.3","25.4","0.1","0.0","0.2","0.0","0.0","4.3"
"Quintez Cephus","DET","2.1","27.5","0.1","0.0","0.2","0.0","0.0","4.2"
"Chris Conley","JAC","1.9","25.4","0.1","0.0","0.0","0.0","0.0","4.1"
"Collin Johnson","JAC","1.9","24.1","0.1","0.0","0.2","0.0","0.0","4.0"
"James Washington","PIT","1.8","24.1","0.1","0.0","0.0","0.0","0.0","3.9"
"Jalen Guyton","LAC","1.6","24.3","0.1","0.1","0.0","0.0","0.0","3.9"
"Steven Sims","WAS","2.0","21.3","0.1","0.1","0.9","0.0","0.0","3.9"
"Mack Hollins","MIA","1.7","21.8","0.1","0.0","0.1","0.0","0.0","3.8"
"Tre'Quan Smith","NO","1.6","21.5","0.1","0.0","0.1","0.0","0.0","3.7"
"Steven Mitchell Jr.","HOU","1.6","20.7","0.1","0.0","0.2","0.0","0.0","3.6"
"Dontrelle Inman","WAS","1.7","21.0","0.1","0.0","0.0","0.0","0.0","3.5"
"Alshon Jeffery","PHI","1.6","22.0","0.1","0.0","0.1","0.0","0.0","3.5"
"Miles Boykin","BAL","1.6","20.2","0.1","0.0","0.0","0.0","0.0","3.5"
"Donovan Peoples-Jones","CLE","1.5","20.3","0.1","0.0","0.3","0.0","0.0","3.4"
"Richie James Jr.","SF","1.3","22.8","0.1","0.1","0.2","0.0","0.1","3.3"
"Isaiah McKenzie","BUF","1.7","16.2","0.1","0.4","2.2","0.0","0.0","3.2"
"Malcolm Perry","MIA","1.8","21.1","0.0","0.1","0.6","0.0","0.0","3.1"
"Olabisi Johnson","MIN","1.6","18.4","0.1","0.0","0.1","0.0","0.0","3.0"
"Tyron Johnson","LAC","1.2","18.3","0.1","0.2","1.3","0.0","0.0","3.0"
"Chad Beebe","MIN","1.5","17.6","0.1","0.0","0.0","0.0","0.0","2.9"
"Marvin Hall","DET","1.1","23.2","0.0","0.1","0.1","0.0","0.0","2.9"
"DaeSean Hamilton","DEN","1.6","16.7","0.1","0.0","0.0","0.0","0.0","2.9"
"Chad Hansen","HOU","1.3","15.6","0.1","0.0","0.2","0.0","0.0","2.8"
"Bryan Edwards","LV","1.4","16.5","0.1","0.0","0.3","0.0","0.0","2.8"
"Braxton Berrios","NYJ","1.4","15.0","0.1","0.1","0.6","0.0","0.0","2.8"
"KeeSean Johnson","ARI","1.6","16.5","0.1","0.0","0.1","0.0","0.0","2.7"
"Cedrick Wilson","DAL","1.3","14.5","0.1","0.3","1.4","0.0","0.0","2.6"
"Lynn Bowden Jr.","MIA","0.8","9.4","0.1","1.2","5.9","0.0","0.0","2.6"
"Van Jefferson","LAR","1.2","16.1","0.1","0.1","0.2","0.0","0.0","2.5"
"Freddie Swain","SEA","1.1","14.4","0.1","0.0","0.1","0.0","0.0","2.5"
"Mike Thomas","CIN","1.3","16.6","0.0","0.0","0.1","0.0","0.0","2.5"
"DeMichael Harris","IND","1.1","12.6","0.0","0.4","2.8","0.0","0.0","2.4"
"Equanimeous St. Brown","GB","1.0","14.9","0.0","0.2","1.0","0.0","0.0","2.4"
"Kalif Raymond","TEN","0.8","14.3","0.1","0.1","0.4","0.0","0.0","2.4"
"Ray-Ray McCloud","PIT","1.5","10.1","0.0","0.6","3.9","0.0","0.0","2.3"
"Isaiah Ford","NE","1.3","13.0","0.1","0.0","0.3","0.0","0.0","2.3"
"Christian Blake","ATL","1.3","14.1","0.0","0.0","0.0","0.0","0.0","2.3"
"Antonio Callaway","MIA","1.0","13.8","0.1","0.0","0.1","0.0","0.0","2.2"
"Austin Mack","NYG","1.2","14.6","0.0","0.1","0.2","0.0","0.0","2.2"
"Marcus Johnson","IND","0.9","14.7","0.0","0.0","0.0","0.0","0.0","2.2"
"Isaiah Wright","WAS","1.3","11.9","0.0","0.2","0.9","0.0","0.0","2.0"
"Brandon Powell","ATL","0.9","10.7","0.1","0.1","0.8","0.0","0.0","1.9"
"Jeff Smith","NYJ","1.0","10.9","0.0","0.0","0.1","0.0","0.0","1.8"
"Donte Moncrief","NE","0.9","11.3","0.0","0.0","0.0","0.0","0.0","1.8"
"Alex Erickson","CIN","0.9","10.7","0.0","0.2","1.4","0.0","0.0","1.8"
"Jamal Agnew","DET","1.0","9.9","0.0","0.4","1.4","0.0","0.0","1.8"
"Cam Batson","TEN","0.9","10.0","0.0","0.2","1.4","0.0","0.0","1.8"
"DeAndrew White","BAL","0.8","9.6","0.1","0.0","0.0","0.0","0.0","1.7"
"Gunner Olszewski","NE","0.8","9.7","0.0","0.2","1.1","0.0","0.0","1.7"
"Auden Tate","CIN","1.0","11.0","0.0","0.0","0.0","0.0","0.0","1.6"
"James Proche","BAL","0.7","8.8","0.0","0.0","0.1","0.0","0.0","1.5"
"Zay Jones","LV","0.7","7.7","0.1","0.0","0.0","0.0","0.0","1.4"
"Trey Quinn","JAC","1.2","9.1","0.0","0.0","0.0","0.0","0.0","1.4"
"Ja'Marcus Bradley","CLE","0.7","7.8","0.0","0.0","0.2","0.0","0.0","1.4"
"Noah Brown","DAL","0.8","7.5","0.0","0.0","0.0","0.0","0.0","1.2"
"C.J. Board","NYG","0.6","7.2","0.0","0.0","0.1","0.0","0.0","1.1"
"Chris Moore","BAL","0.5","5.9","0.0","0.0","0.0","0.0","0.0","1.1"
"Nick Westbrook-Ikhine","TEN","0.6","6.2","0.0","0.0","0.1","0.0","0.0","0.9"
"John Hightower","PHI","0.4","5.6","0.0","0.0","0.1","0.0","0.0","0.8"
"Laquon Treadwell","ATL","0.5","5.2","0.0","0.0","0.0","0.0","0.0","0.8"
"Juwan Johnson","NO","0.3","3.8","0.0","0.0","0.2","0.0","0.0","0.7"
"Matthew Slater","NE","0.2","4.4","0.0","0.0","0.1","0.0","0.0","0.6"
"Nsimba Webster","LAR","0.2","3.3","0.0","0.0","0.3","0.0","0.0","0.6"
"Trent Taylor","SF","0.3","3.3","0.0","0.0","0.0","0.0","0.0","0.5"
"River Cracraft","SF","0.3","3.5","0.0","0.0","0.1","0.0","0.0","0.5"
"Dan Chisena","MIN","0.2","3.3","0.0","0.0","0.1","0.0","0.0","0.5"
"Jake Kumerow","BUF","0.2","3.5","0.0","0.0","0.0","0.0","0.0","0.5"
"Ashton Dulin","IND","0.2","2.8","0.0","0.0","0.3","0.0","0.0","0.5"
"Tommylee Lewis","NO","0.1","1.7","0.0","0.0","1.3","0.0","0.0","0.4"
"Tyrie Cleveland","DEN","0.2","2.4","0.0","0.0","0.1","0.0","0.0","0.4"
"DeAndre Carter","CHI","0.1","2.3","0.0","0.0","0.2","0.0","0.0","0.3"
"Malik Taylor","GB","0.2","2.1","0.0","0.0","0.3","0.0","0.0","0.3"
"Andre Roberts","BUF","0.1","2.1","0.0","0.1","0.4","0.0","0.0","0.3"
