"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","37.3","25.3","304.0","2.5","0.5","4.0","19.5","0.2","0.1","24.1"
"Russell Wilson","SEA","33.9","23.8","279.4","2.3","0.6","5.3","28.9","0.1","0.2","22.2"
"Josh Allen","BUF","34.8","21.9","250.5","1.7","0.7","7.0","35.2","0.4","0.3","20.4"
"Deshaun Watson","HOU","33.7","22.5","265.3","1.8","0.8","5.5","30.4","0.2","0.2","20.4"
"Aaron Rodgers","GB","35.8","23.7","272.5","2.2","0.4","2.4","11.9","0.1","0.2","20.2"
"Kyler Murray","ARI","34.0","22.8","239.8","1.4","0.8","7.4","40.9","0.5","0.2","20.2"
"Justin Herbert","LAC","36.6","24.6","283.5","1.9","0.8","3.6","16.6","0.2","0.2","19.7"
"Lamar Jackson","BAL","24.8","15.4","184.2","1.3","0.6","8.9","54.7","0.5","0.2","19.1"
"Ryan Tannehill","TEN","30.2","19.9","249.6","2.0","0.5","3.0","14.3","0.1","0.2","18.9"
"Taysom Hill","NO","25.9","17.1","210.8","0.9","0.7","8.3","45.1","0.7","0.3","18.8"
"Cam Newton","NE","30.6","19.6","216.2","1.1","0.9","8.1","37.1","0.5","0.1","18.0"
"Derek Carr","LV","33.8","23.2","266.3","2.0","0.6","2.6","8.5","0.1","0.3","17.9"
"Kirk Cousins","MIN","31.0","21.2","259.0","2.1","0.7","2.0","6.6","0.1","0.2","17.8"
"Ben Roethlisberger","PIT","37.5","24.8","268.8","1.9","0.6","1.4","4.3","0.1","0.1","17.7"
"Philip Rivers","IND","35.7","23.8","280.4","1.8","0.7","1.0","2.1","0.0","0.1","17.1"
"Jared Goff","LAR","36.8","24.1","279.7","1.7","0.9","2.6","7.0","0.1","0.2","17.0"
"Mitchell Trubisky","CHI","35.0","21.8","247.3","1.6","0.9","3.2","17.3","0.1","0.2","16.6"
"Matt Ryan","ATL","37.3","23.7","279.3","1.6","0.9","2.1","7.0","0.0","0.2","16.2"
"Baker Mayfield","CLE","33.3","20.5","241.8","1.7","1.0","2.4","9.7","0.1","0.1","15.5"
"Carson Wentz","PHI","35.6","22.3","244.2","1.4","1.1","4.1","18.5","0.1","0.3","15.3"
"Matthew Stafford","DET","35.9","23.2","256.8","1.5","0.8","2.1","7.2","0.0","0.2","15.2"
"Tua Tagovailoa","MIA","31.7","20.1","225.4","1.5","0.7","3.0","11.7","0.1","0.2","14.9"
"Andy Dalton","DAL","37.7","23.1","246.9","1.3","1.0","2.3","10.0","0.1","0.2","14.3"
"Nick Mullens","SF","33.3","21.9","257.0","1.4","1.1","0.9","3.2","0.0","0.2","13.9"
"Mike Glennon","JAC","37.0","23.5","245.9","1.3","0.8","1.7","5.6","0.0","0.3","13.8"
"Drew Lock","DEN","36.6","21.3","238.4","1.2","1.2","3.3","13.4","0.1","0.2","13.6"
"Sam Darnold","NYJ","32.2","19.2","220.8","1.3","1.0","3.0","13.2","0.1","0.1","13.6"
"Alex Smith","WAS","34.4","21.5","233.9","1.1","0.7","2.1","8.5","0.0","0.2","13.3"
"Colt McCoy","NYG","33.6","21.3","229.6","1.0","1.0","3.5","15.2","0.1","0.2","12.9"
"Brandon Allen","CIN","33.4","19.0","218.0","0.9","1.1","3.1","13.4","0.1","0.3","11.3"
"Ryan Fitzpatrick","MIA","22.5","14.0","132.5","0.9","0.5","2.9","12.7","0.1","0.1","9.3"
"Trace McSorley","BAL","8.0","4.8","43.9","0.2","0.2","1.9","7.1","0.1","0.0","3.3"
"Jacoby Brissett","IND","6.3","3.5","27.7","0.0","0.1","1.9","5.6","0.1","0.0","1.8"
"Jalen Hurts","PHI","3.8","2.2","19.2","0.0","0.1","1.6","7.0","0.0","0.1","1.5"
"Nick Foles","CHI","3.3","2.2","28.1","0.1","0.2","0.4","0.2","0.0","0.0","1.0"
"Marcus Mariota","LV","1.3","1.0","10.7","0.1","0.0","0.3","1.1","0.0","0.0","0.9"
"Daniel Jones","NYG","10.8","6.8","51.4","0.1","0.5","0.6","1.4","0.0","0.3","0.9"
"Gardner Minshew II","JAC","4.5","2.5","22.8","0.1","0.2","0.6","1.0","0.0","0.0","0.9"
"Jake Luton","JAC","5.5","3.0","26.9","0.1","0.2","0.6","1.3","0.0","0.1","0.9"
"David Blough","DET","1.5","0.8","9.3","0.1","0.0","0.2","0.9","0.0","0.0","0.9"
"Jarrett Stidham","NE","1.2","0.8","8.3","0.1","0.0","0.3","1.2","0.0","0.0","0.9"
"Tyrod Taylor","LAC","1.5","1.0","12.0","0.1","0.0","0.3","0.6","0.0","0.0","0.8"
"Jameis Winston","NO","2.7","1.6","17.7","0.1","0.2","0.2","0.7","0.0","0.0","0.8"
"Mason Rudolph","PIT","1.5","1.0","11.9","0.1","0.1","0.2","0.2","0.0","0.0","0.7"
"Nate Sudfeld","PHI","1.1","0.6","7.7","0.1","0.0","0.2","0.3","0.0","0.0","0.7"
"Tim Boyle","GB","0.7","0.5","10.9","0.1","0.0","0.2","0.3","0.0","0.0","0.7"
"Chase Daniel","DET","1.5","0.8","11.3","0.1","0.0","0.2","0.5","0.0","0.0","0.7"
