"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Pittsburgh Steelers","","3.7","0.9","0.7","1.1","0.1","0.0","19.4","333.4","8.9"
"Baltimore Ravens","","2.5","1.1","0.7","1.2","0.2","0.0","18.1","327.0","8.1"
"Green Bay Packers","","2.9","1.0","0.6","0.9","0.2","0.0","19.2","336.5","8.1"
"Philadelphia Eagles","","3.1","0.9","0.7","1.1","0.2","0.0","21.3","302.2","7.4"
"New York Giants","","3.0","0.9","0.7","1.0","0.2","0.0","22.6","345.3","7.2"
"Los Angeles Rams","","3.2","0.8","0.6","0.8","0.1","0.1","23.8","361.8","6.9"
"New Orleans Saints","","2.7","1.0","0.5","0.8","0.2","0.0","20.7","345.5","6.8"
"Cleveland Browns","","2.9","0.9","0.6","1.0","0.1","0.0","22.5","363.3","6.8"
"Tampa Bay Buccaneers","","2.7","0.9","0.6","1.1","0.2","0.0","22.6","332.7","6.8"
"Washington Football Team","","2.9","0.9","0.6","1.0","0.1","0.0","24.6","343.2","6.6"
"Detroit Lions","","2.6","0.8","0.6","0.9","0.2","0.1","20.8","336.3","6.4"
"Miami Dolphins","","2.4","0.9","0.6","1.0","0.2","0.0","23.5","405.4","6.4"
"Arizona Cardinals","","2.6","0.8","0.6","0.9","0.1","0.0","24.8","372.7","6.2"
"Minnesota Vikings","","2.4","0.9","0.5","0.7","0.1","0.0","20.8","335.0","6.2"
"Las Vegas Raiders","","2.1","1.0","0.5","0.8","0.1","0.0","22.2","354.3","6.1"
"Buffalo Bills","","2.4","0.8","0.6","1.0","0.1","0.0","25.4","367.0","6.1"
"Chicago Bears","","2.3","0.8","0.6","0.9","0.2","0.0","20.7","333.2","6.1"
"Indianapolis Colts","","2.5","0.8","0.5","0.8","0.1","0.0","23.5","345.2","6.1"
"New England Patriots","","2.4","0.8","0.6","0.8","0.1","0.0","22.6","361.1","6.0"
"Houston Texans","","2.1","0.9","0.5","0.8","0.1","0.0","24.7","365.3","5.8"
"Los Angeles Chargers","","2.5","0.8","0.5","0.5","0.1","0.0","23.8","325.1","5.8"
"Tennessee Titans","","2.0","0.9","0.5","0.7","0.1","0.0","22.1","364.6","5.7"
"Denver Broncos","","2.4","0.6","0.6","0.9","0.1","0.0","25.1","353.0","5.7"
"Seattle Seahawks","","1.9","0.8","0.6","1.0","0.1","0.0","26.1","396.1","5.6"
"Carolina Panthers","","1.9","0.7","0.6","0.9","0.1","0.0","26.3","363.1","5.2"
"San Francisco 49ers","","1.9","0.6","0.5","0.9","0.1","0.0","26.6","371.8","5.0"
"Cincinnati Bengals","","1.7","0.7","0.5","0.6","0.1","0.0","26.9","378.6","4.9"
"Jacksonville Jaguars","","1.9","0.5","0.4","0.6","0.1","0.0","29.3","395.9","4.3"
""
""
