"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Darren Waller","LV","6.4","67.4","0.5","0.1","12.9"
"T.J. Hockenson","DET","4.5","48.8","0.5","0.0","10.1"
"Noah Fant","DEN","4.2","50.7","0.4","0.0","9.6"
"Mark Andrews","BAL","3.7","47.8","0.5","0.0","9.3"
"Hunter Henry","LAC","4.5","53.0","0.3","0.0","9.1"
"Austin Hooper","CLE","4.2","46.4","0.4","0.0","9.0"
"Jared Cook","NO","3.5","44.2","0.4","0.0","8.5"
"Jonnu Smith","TEN","3.5","41.0","0.4","0.0","8.4"
"Eric Ebron","PIT","4.2","45.6","0.3","0.0","8.2"
"Dallas Goedert","PHI","4.2","46.2","0.3","0.0","8.1"
"Evan Engram","NYG","4.5","46.9","0.2","0.0","8.0"
"Robert Tonyan","GB","3.3","41.8","0.3","0.0","7.7"
"Rob Gronkowski","TB","3.3","44.5","0.2","0.0","7.6"
"Mike Gesicki","MIA","3.6","43.1","0.2","0.0","7.4"
"Jimmy Graham","CHI","4.0","40.5","0.2","0.0","7.2"
"Trey Burton","IND","3.4","33.9","0.3","0.0","7.0"
"Jordan Reed","SF","3.8","38.5","0.2","0.0","6.8"
"Tyler Higbee","LAR","3.2","36.6","0.2","0.0","6.4"
"Logan Thomas","WAS","3.5","35.1","0.2","0.0","6.2"
"Gerald Everett","LAR","2.8","31.8","0.1","0.0","5.4"
"Anthony Firkser","TEN","2.6","29.4","0.2","0.0","5.3"
"Jordan Akins","HOU","2.8","30.0","0.1","0.0","5.2"
"Jake Butt","DEN","3.0","35.0","0.0","0.0","5.0"
"Tyler Eifert","JAC","2.6","29.3","0.1","0.0","5.0"
"Greg Olsen","SEA","2.6","27.7","0.1","0.0","4.9"
"Harrison Bryant","CLE","2.1","24.1","0.2","0.0","4.6"
"Mo Alie-Cox","IND","1.9","27.2","0.1","0.0","4.5"
"Darren Fells","HOU","2.1","22.8","0.2","0.0","4.5"
"Irv Smith Jr.","MIN","2.4","24.3","0.1","0.0","4.3"
"Drew Sample","CIN","2.5","22.9","0.1","0.0","4.0"
"David Njoku","CLE","1.7","21.1","0.2","0.0","3.9"
"Kyle Rudolph","MIN","1.9","20.2","0.1","0.0","3.7"
"Ross Dwelley","SF","1.8","19.4","0.1","0.0","3.4"
"Dawson Knox","BUF","1.6","20.5","0.1","0.0","3.3"
"Richard Rodgers","PHI","1.7","19.2","0.1","0.0","3.3"
"Ian Thomas","CAR","1.9","17.7","0.1","0.0","3.3"
"Josh Hill","NO","1.6","15.6","0.1","0.0","2.9"
"Dan Arnold","ARI","1.4","17.0","0.1","0.0","2.9"
"James O'Shaughnessy","JAC","1.6","16.3","0.1","0.0","2.9"
"Andrew Beck","DEN","1.4","16.0","0.1","0.0","2.9"
"Foster Moreau","LV","1.2","12.4","0.2","0.0","2.8"
"Adam Trautman","NO","1.4","15.8","0.1","0.0","2.8"
"Nick Boyle","BAL","1.6","15.0","0.1","0.0","2.8"
"Ryan Izzo","NE","1.4","15.8","0.1","0.0","2.8"
"Jacob Hollister","SEA","1.6","15.0","0.1","0.0","2.8"
"Nick Vannett","DEN","1.6","14.9","0.1","0.0","2.8"
"Jace Sternberger","GB","1.4","15.5","0.1","0.0","2.7"
"Will Dissly","SEA","1.2","14.5","0.1","0.0","2.6"
"Kaden Smith","NYG","1.6","13.4","0.1","0.0","2.6"
"Tyler Kroft","BUF","1.3","12.8","0.1","0.0","2.5"
"Adam Shaheen","MIA","1.2","12.2","0.1","0.0","2.5"
"Cameron Brate","TB","1.2","12.2","0.1","0.0","2.5"
"Jason Witten","LV","1.4","12.5","0.1","0.0","2.5"
"Marcedes Lewis","GB","1.1","11.3","0.1","0.0","2.4"
"Cole Kmet","CHI","1.2","12.9","0.1","0.0","2.4"
"Jesse James","DET","1.3","13.9","0.0","0.0","2.3"
"Vance McDonald","PIT","1.1","12.3","0.1","0.0","2.1"
"Maxx Williams","ARI","1.2","10.6","0.1","0.0","2.1"
"Durham Smythe","MIA","1.2","11.8","0.1","0.0","2.1"
"Donald Parham Jr.","LAC","1.1","12.3","0.1","0.0","2.1"
"Gabe Nabers","LAC","1.2","13.7","0.0","0.0","2.0"
"Cethan Carter","CIN","1.2","13.2","0.0","0.0","1.9"
"Brycen Hopkins","LAR","0.8","8.3","0.1","0.0","1.8"
"Ben Ellefson","JAC","1.2","12.7","0.0","0.0","1.8"
"Isaac Nauta","DET","1.2","12.7","0.0","0.0","1.8"
"Mason Schreck","CIN","1.1","12.4","0.0","0.0","1.8"
"Zach Gentry","PIT","0.9","9.7","0.1","0.0","1.8"
"Darrell Daniels","ARI","0.9","10.5","0.0","0.0","1.7"
"Kahale Warring","HOU","0.7","7.6","0.1","0.0","1.7"
"Jason Croom","PHI","0.7","7.4","0.1","0.0","1.7"
"Colby Parkinson","SEA","0.7","7.4","0.1","0.0","1.7"
"Hunter Bryant","DET","0.7","7.2","0.1","0.0","1.7"
"Johnny Mundt","LAR","1.1","11.5","0.0","0.0","1.7"
"Demetrius Harris","CHI","1.0","9.1","0.0","0.0","1.7"
"Farrod Green","IND","0.7","7.0","0.1","0.0","1.7"
"Evan Baylis","ARI","0.7","6.1","0.1","0.0","1.6"
"Taysom Hill","NO","0.7","7.6","0.1","0.0","1.5"
"Chris Manhertz","CAR","0.9","10.1","0.0","0.0","1.5"
"Temarrick Hemingway","WAS","0.9","10.2","0.0","0.0","1.5"
"Noah Togiai","IND","0.7","7.5","0.1","0.0","1.4"
"Geoff Swaim","TEN","0.9","9.0","0.0","0.0","1.3"
"Antony Auclair","TB","0.7","6.3","0.1","0.0","1.3"
"John Lovett","GB","0.7","8.0","0.0","0.0","1.2"
"Lee Smith","BUF","0.5","4.7","0.1","0.0","1.1"
"Tanner Hudson","TB","0.7","7.6","0.0","0.0","1.1"
"Levine Toilolo","NYG","0.6","7.6","0.0","0.0","1.1"
"Jeremy Sprinkle","WAS","0.7","6.7","0.0","0.0","1.0"
"Tyler Conklin","MIN","0.7","7.0","0.0","0.0","1.0"
"Stephen Anderson","LAC","0.6","7.2","0.0","0.0","1.0"
"Pharaoh Brown","HOU","0.6","6.7","0.0","0.0","1.0"
"Charlie Woerner","SF","0.6","6.7","0.0","0.0","1.0"
"Daniel Helm","SF","0.6","6.6","0.0","0.0","1.0"
"Derek Carrier","LV","0.5","4.6","0.0","0.0","0.9"
"Eric Saubert","JAC","0.6","6.1","0.0","0.0","0.9"
"Jakob Johnson","NE","0.3","0.9","0.1","0.0","0.8"
"Jordan Thomas","NE","0.4","3.2","0.1","0.0","0.8"
"Eric Tomlinson","NYG","0.6","4.5","0.0","0.0","0.8"
"J.P. Holtz","CHI","0.4","4.7","0.0","0.0","0.7"
