"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","8.1","102.6","0.9","0.0","0.0","0.0","0.0","19.8"
"Keenan Allen","LAC","7.7","91.0","0.6","0.1","0.8","0.0","0.1","16.3"
"DeAndre Hopkins","ARI","7.1","87.3","0.6","0.0","0.1","0.0","0.1","15.7"
"Stefon Diggs","BUF","6.7","87.4","0.6","0.2","1.1","0.0","0.1","15.6"
"D.K. Metcalf","SEA","5.2","83.6","0.7","0.0","0.1","0.0","0.1","14.8"
"Terry McLaurin","WAS","5.9","85.1","0.5","0.1","0.4","0.0","0.0","14.7"
"Robert Woods","LAR","5.7","72.7","0.5","1.5","10.5","0.1","0.1","14.5"
"Michael Thomas","NO","6.6","77.1","0.5","0.0","0.0","0.0","0.0","14.2"
"Cooper Kupp","LAR","6.0","75.2","0.5","0.4","2.2","0.0","0.0","14.0"
"Allen Robinson II","CHI","6.5","79.3","0.5","0.1","0.3","0.0","0.1","13.8"
"Tyler Lockett","SEA","5.6","73.6","0.6","0.2","1.0","0.0","0.0","13.8"
"A.J. Brown","TEN","4.6","73.5","0.6","0.1","1.1","0.0","0.0","13.3"
"Robby Anderson","CAR","6.0","76.3","0.4","0.2","0.7","0.0","0.1","13.3"
"Adam Thielen","MIN","5.3","68.1","0.6","0.3","1.6","0.0","0.0","12.9"
"Will Fuller V","HOU","4.8","70.5","0.6","0.1","0.6","0.0","0.0","12.8"
"Tyler Boyd","CIN","5.9","69.3","0.4","0.4","2.7","0.0","0.1","12.7"
"Justin Jefferson","MIN","4.4","70.9","0.5","0.1","0.4","0.0","0.0","12.3"
"Jerry Jeudy","DEN","4.9","69.4","0.5","0.1","0.5","0.0","0.0","12.2"
"Travis Fulgham","PHI","5.0","66.0","0.5","0.1","0.4","0.0","0.0","12.1"
"DeVante Parker","MIA","4.7","67.2","0.5","0.0","0.0","0.0","0.0","12.0"
"Chris Godwin","TB","5.0","64.4","0.5","0.0","0.1","0.0","0.0","11.9"
"Jarvis Landry","CLE","4.9","63.8","0.5","0.3","1.6","0.0","0.1","11.7"
"Tee Higgins","CIN","4.6","64.3","0.4","0.4","2.8","0.0","0.0","11.7"
"JuJu Smith-Schuster","PIT","5.1","62.5","0.5","0.0","0.1","0.0","0.0","11.7"
"Brandin Cooks","HOU","4.7","64.2","0.4","0.2","1.2","0.0","0.0","11.4"
"Diontae Johnson","PIT","5.0","58.6","0.5","0.3","2.0","0.0","0.1","11.4"
"D.J. Chark Jr.","JAC","4.8","62.1","0.5","0.0","0.3","0.0","0.0","11.3"
"Mike Williams","LAC","3.8","62.6","0.5","0.2","0.9","0.0","0.0","11.3"
"Mike Evans","TB","4.2","60.9","0.5","0.0","0.0","0.0","0.0","11.3"
"D.J. Moore","CAR","5.1","71.6","0.2","0.2","1.6","0.0","0.1","11.2"
"Brandon Aiyuk","SF","4.4","60.4","0.4","0.8","3.7","0.0","0.0","10.9"
"John Brown","BUF","4.3","57.5","0.4","0.1","0.2","0.0","0.0","10.5"
"Christian Kirk","ARI","4.3","53.9","0.4","0.3","2.3","0.0","0.0","10.4"
"Darius Slayton","NYG","3.9","55.5","0.4","0.2","0.6","0.0","0.0","10.2"
"Antonio Brown","TB","4.5","56.8","0.4","0.1","0.6","0.0","0.0","10.2"
"Curtis Samuel","CAR","4.2","46.0","0.2","2.2","12.1","0.2","0.0","10.0"
"Chase Claypool","PIT","3.9","53.7","0.3","0.6","4.1","0.0","0.0","9.8"
"Marvin Jones Jr.","DET","4.0","54.8","0.4","0.0","0.0","0.0","0.0","9.7"
"Sterling Shepard","NYG","4.8","54.0","0.2","0.4","2.5","0.0","0.0","9.5"
"Marquise Brown","BAL","4.0","55.6","0.3","0.3","1.7","0.0","0.0","9.4"
"Jakobi Meyers","NE","4.9","61.8","0.1","0.1","0.5","0.0","0.0","9.4"
"Darnell Mooney","CHI","4.3","52.4","0.3","0.1","0.6","0.0","0.0","9.4"
"Tim Patrick","DEN","4.1","56.3","0.3","0.1","0.3","0.0","0.0","9.3"
"Corey Davis","TEN","4.1","52.8","0.3","0.1","0.4","0.0","0.0","8.9"
"Cole Beasley","BUF","4.6","51.9","0.2","0.0","0.0","0.0","0.0","8.9"
"Emmanuel Sanders","NO","4.2","52.4","0.2","0.0","0.4","0.0","0.0","8.8"
"Jalen Reagor","PHI","3.6","48.5","0.3","0.2","0.9","0.0","0.0","8.8"
"Danny Amendola","DET","4.2","52.6","0.2","0.1","0.7","0.0","0.0","8.4"
"Kenny Golladay","DET","3.1","49.4","0.3","0.0","0.1","0.0","0.0","8.1"
"A.J. Green","CIN","4.0","51.2","0.2","0.0","0.0","0.0","0.0","8.1"
"T.Y. Hilton","IND","3.6","51.1","0.2","0.0","0.0","0.0","0.0","7.9"
"Richie James Jr.","SF","3.3","51.6","0.2","0.1","0.6","0.0","0.1","7.8"
"Hunter Renfrow","LV","3.6","45.8","0.2","0.0","0.0","0.0","0.0","7.8"
"Henry Ruggs III","LV","3.2","46.2","0.2","0.5","2.9","0.0","0.0","7.7"
"Anthony Miller","CHI","4.0","45.7","0.2","0.1","0.7","0.0","0.0","7.6"
"Keelan Cole Sr.","JAC","3.3","46.9","0.2","0.1","0.3","0.0","0.0","7.5"
"Nelson Agholor","LV","3.2","41.4","0.2","0.1","0.6","0.0","0.0","7.2"
"Zach Pascal","IND","3.4","42.1","0.2","0.1","0.4","0.0","0.0","7.2"
"Marquez Valdes-Scantling","GB","2.9","44.6","0.2","0.2","1.5","0.0","0.0","7.1"
"Josh Reynolds","LAR","3.0","43.6","0.2","0.1","0.6","0.0","0.0","7.0"
"Randall Cobb","HOU","3.4","41.9","0.2","0.1","0.4","0.0","0.0","6.9"
"Michael Pittman Jr.","IND","3.5","42.7","0.1","0.1","0.5","0.0","0.0","6.8"
"Rashard Higgins","CLE","2.9","41.2","0.2","0.0","0.2","0.0","0.0","6.8"
"Laviska Shenault Jr.","JAC","2.9","34.6","0.2","1.5","7.2","0.0","0.1","6.7"
"Allen Lazard","GB","2.5","38.4","0.2","0.2","1.8","0.0","0.0","6.5"
"Damiere Byrd","NE","3.3","40.0","0.1","0.0","0.1","0.0","0.0","6.4"
"Jakeem Grant","MIA","3.3","36.9","0.2","0.2","1.6","0.0","0.0","6.4"
"Larry Fitzgerald","ARI","3.4","35.1","0.1","0.0","0.0","0.0","0.0","6.1"
"KJ Hamler","DEN","2.9","35.9","0.1","0.5","2.4","0.0","0.0","6.1"
"Cordarrelle Patterson","CHI","2.0","16.8","0.1","4.6","20.9","0.1","0.0","5.8"
"Tre'Quan Smith","NO","2.6","33.2","0.2","0.0","0.1","0.0","0.0","5.8"
"David Moore","SEA","2.3","32.9","0.2","0.2","1.8","0.0","0.0","5.7"
"Greg Ward","PHI","3.2","31.8","0.1","0.2","0.5","0.0","0.0","5.7"
"N'Keal Harry","NE","2.9","29.3","0.2","0.2","1.4","0.0","0.0","5.5"
"Chris Conley","JAC","2.6","34.4","0.1","0.0","0.0","0.0","0.0","5.4"
"Deebo Samuel","SF","2.0","29.0","0.1","0.6","5.1","0.1","0.0","5.4"
"Golden Tate","NYG","2.8","30.2","0.1","0.1","0.5","0.0","0.0","5.2"
"Scotty Miller","TB","2.2","30.3","0.1","0.3","1.3","0.0","0.0","5.2"
"Dontrelle Inman","WAS","2.2","27.8","0.2","0.0","0.0","0.0","0.0","5.0"
"Marcus Johnson","IND","2.0","30.7","0.1","0.0","0.0","0.0","0.0","4.8"
"Steven Sims","WAS","2.4","27.6","0.1","0.3","2.0","0.0","0.0","4.7"
"Jalen Guyton","LAC","2.0","28.6","0.1","0.0","0.3","0.0","0.0","4.6"
"Andy Isabella","ARI","1.8","27.0","0.2","0.2","0.4","0.0","0.0","4.6"
"Willie Snead IV","BAL","2.3","28.3","0.1","0.0","0.1","0.0","0.0","4.5"
"James Washington","PIT","1.9","26.9","0.1","0.0","0.0","0.0","0.0","4.4"
"Alshon Jeffery","PHI","1.9","24.6","0.1","0.0","0.1","0.0","0.0","4.3"
"Gabriel Davis","BUF","1.9","25.2","0.1","0.1","0.5","0.0","0.0","4.3"
"Austin Mack","NYG","2.1","26.9","0.1","0.1","0.5","0.0","0.0","4.1"
"Cyril Grayson Jr.","TB","1.7","20.0","0.2","0.0","0.0","0.0","0.0","4.1"
"Miles Boykin","BAL","1.8","24.7","0.1","0.0","0.0","0.0","0.0","4.0"
"Isaiah Wright","WAS","2.1","23.4","0.1","0.3","1.4","0.0","0.0","4.0"
"River Cracraft","SF","1.8","22.5","0.1","0.1","0.4","0.0","0.0","3.8"
"Marvin Hall","DET","1.4","25.7","0.1","0.1","0.3","0.0","0.0","3.8"
"Kalif Raymond","TEN","1.4","22.6","0.1","0.2","0.3","0.0","0.0","3.5"
"Cam Sims","WAS","1.5","21.2","0.1","0.0","0.2","0.0","0.0","3.4"
"Kenny Stills","HOU","1.4","19.3","0.1","0.0","0.0","0.0","0.0","3.4"
"Isaiah Ford","NE","1.9","20.3","0.1","0.0","0.3","0.0","0.0","3.4"
"Jason Moore","LAC","1.7","19.0","0.1","0.0","0.0","0.0","0.0","3.4"
"Trent Taylor","SF","1.9","19.9","0.1","0.0","0.0","0.0","0.0","3.3"
"Auden Tate","CIN","1.6","20.7","0.1","0.0","0.0","0.0","0.0","3.3"
"Devin Duvernay","BAL","1.5","18.3","0.1","0.3","2.6","0.0","0.0","3.3"
"Malik Taylor","GB","1.6","19.6","0.1","0.0","0.4","0.0","0.0","3.2"
"Tyron Johnson","LAC","1.3","19.1","0.1","0.1","0.7","0.0","0.0","3.2"
"Bryan Edwards","LV","1.5","18.7","0.1","0.1","0.4","0.0","0.0","3.1"
"DaeSean Hamilton","DEN","1.6","17.4","0.1","0.0","0.0","0.0","0.0","3.0"
"Darrius Shepherd","GB","1.5","19.2","0.1","0.0","0.2","0.0","0.0","3.0"
"Malcolm Perry","MIA","1.3","16.0","0.1","0.3","1.3","0.0","0.0","2.9"
"Marquez Callaway","NO","1.5","17.3","0.1","0.1","0.3","0.0","0.0","2.9"
