"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Sony Michel","NE","5.8","21.7","0.1","0.6","2.4","0.0","0.0","3.3"
"Anthony McFarland Jr.","PIT","3.6","15.3","0.1","1.0","6.5","0.0","0.0","3.2"
"Dion Lewis","NYG","2.7","9.7","0.0","1.7","11.3","0.0","0.0","3.2"
"Samaje Perine","CIN","4.8","15.7","0.1","0.8","4.3","0.0","0.0","2.9"
"Kyle Juszczyk","SF","1.1","3.7","0.0","1.5","14.5","0.0","0.0","2.9"
"Ryan Nall","CHI","3.6","12.3","0.0","1.1","6.7","0.0","0.0","2.9"
"Peyton Barber","WAS","5.3","16.6","0.1","0.6","2.4","0.0","0.0","2.9"
"Tevin Coleman","SF","3.4","12.8","0.1","0.6","5.4","0.0","0.0","2.9"
"Carlos Hyde","SEA","4.5","16.4","0.1","0.8","3.7","0.0","0.0","2.9"
"D'Onta Foreman","TEN","3.9","15.6","0.1","0.8","4.3","0.0","0.0","2.8"
"Alfred Morris","NYG","4.7","20.1","0.0","0.6","1.9","0.0","0.0","2.7"
"Trenton Cannon","CAR","2.3","7.1","0.1","1.3","8.3","0.0","0.0","2.7"
"Tyler Ervin","GB","2.4","8.8","0.0","1.1","6.9","0.0","0.0","2.5"
"Jeremy McNichols","TEN","2.9","12.3","0.0","0.8","5.1","0.0","0.0","2.4"
"Jaylen Samuels","PIT","3.8","6.8","0.0","1.4","7.5","0.0","0.0","2.3"
"Royce Freeman","DEN","3.4","9.5","0.0","1.0","4.8","0.0","0.0","2.2"
"Alex Collins","SEA","4.3","13.7","0.0","1.0","3.9","0.0","0.1","2.2"
"Reggie Bonnafon","CAR","1.9","8.1","0.1","0.8","5.4","0.0","0.0","2.2"
"Corey Clement","PHI","2.2","7.6","0.0","0.9","5.4","0.0","0.0","2.0"
"LeSean McCoy","TB","4.4","8.2","0.0","0.9","4.2","0.0","0.0","2.0"
"Lynn Bowden Jr.","MIA","1.0","4.0","0.0","0.8","7.6","0.1","0.0","1.9"
"Jakob Johnson","NE","3.2","9.8","0.0","1.2","4.1","0.0","0.0","1.9"
"Eno Benjamin","ARI","2.5","9.4","0.1","0.7","3.1","0.0","0.0","1.9"
"D.J. Foster","ARI","3.3","11.2","0.0","0.8","4.1","0.0","0.0","1.8"
"D'Ernest Johnson","CLE","3.4","9.2","0.0","0.8","2.9","0.0","0.0","1.8"
"Malcolm Perry","MIA","0.1","-0.4","0.0","0.7","8.8","0.1","0.0","1.8"
"Alec Ingold","LV","0.6","2.1","0.0","1.1","8.4","0.0","0.0","1.8"
"Ke'Shawn Vaughn","TB","2.6","8.8","0.1","0.7","2.9","0.0","0.0","1.8"
"Ameer Abdullah","MIN","1.6","6.1","0.0","0.8","4.5","0.0","0.0","1.7"
"AJ Dillon","GB","2.4","8.6","0.0","0.8","3.1","0.0","0.0","1.7"
"Reggie Gilliam","BUF","1.7","5.8","0.0","0.9","4.1","0.1","0.0","1.7"
"Justice Hill","BAL","3.2","7.1","0.0","1.0","3.5","0.0","0.0","1.7"
"Rashaad Penny","SEA","1.7","8.5","0.1","0.1","1.2","0.0","0.0","1.6"
"Artavis Pierce","CHI","1.6","5.7","0.1","0.4","2.9","0.0","0.0","1.5"
"Dontrell Hilliard","CLE","2.1","6.6","0.0","0.5","2.9","0.0","0.0","1.5"
"Mike Boone","MIN","1.7","8.8","0.1","0.2","0.6","0.0","0.0","1.5"
"Buddy Howell","HOU","2.6","7.1","0.0","0.6","2.5","0.0","0.0","1.4"
