"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","15.1","68.7","0.7","6.2","59.4","0.3","0.2","21.5"
"Dalvin Cook","MIN","20.4","99.9","1.1","3.2","28.9","0.1","0.2","21.3"
"Alvin Kamara","NO","12.1","56.8","0.6","5.9","54.5","0.3","0.1","19.5"
"Derrick Henry","TEN","20.1","91.3","0.7","1.4","11.0","0.1","0.1","15.2"
"Aaron Jones","GB","13.0","59.4","0.6","3.6","27.9","0.2","0.1","15.2"
"Austin Ekeler","LAC","10.1","42.4","0.3","4.9","48.4","0.3","0.1","14.9"
"Miles Sanders","PHI","14.1","72.0","0.4","3.1","28.7","0.1","0.1","14.9"
"D'Andre Swift","DET","13.0","58.0","0.5","3.5","31.3","0.2","0.1","14.8"
"Josh Jacobs","LV","17.8","78.5","0.6","2.4","17.5","0.1","0.1","14.5"
"Mike Davis","CAR","12.4","54.5","0.5","4.0","28.2","0.2","0.1","14.2"
"Ezekiel Elliott","DAL","17.8","72.5","0.5","3.1","23.4","0.1","0.2","14.1"
"James Robinson","JAC","16.2","69.9","0.5","2.9","22.2","0.1","0.1","14.1"
"James Conner","PIT","15.1","65.4","0.6","2.6","19.1","0.1","0.1","14.0"
"Kareem Hunt","CLE","11.8","58.9","0.4","2.8","23.8","0.3","0.1","13.8"
"Joe Mixon","CIN","16.2","66.6","0.4","2.8","20.9","0.1","0.1","13.3"
"Clyde Edwards-Helaire","KC","10.9","52.0","0.4","2.8","24.9","0.2","0.1","12.4"
"Antonio Gibson","WAS","13.5","52.7","0.5","2.6","21.6","0.1","0.1","12.3"
"Todd Gurley II","ATL","15.3","55.9","0.6","2.1","15.3","0.1","0.1","11.9"
"Nick Chubb","CLE","15.4","70.0","0.6","1.3","9.1","0.0","0.1","11.9"
"Melvin Gordon III","DEN","13.6","57.0","0.4","2.5","19.2","0.1","0.2","11.7"
"Ronald Jones II","TB","13.5","59.7","0.5","2.2","15.8","0.0","0.1","11.5"
"Duke Johnson Jr.","HOU","10.0","47.8","0.3","3.1","28.3","0.2","0.1","11.5"
"Kenyan Drake","ARI","12.9","58.9","0.5","1.6","11.7","0.0","0.1","10.7"
"Jonathan Taylor","IND","11.5","50.3","0.4","2.0","16.8","0.1","0.1","10.6"
"Chris Carson","SEA","11.4","46.0","0.3","2.6","17.6","0.1","0.1","10.3"
