"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Kyler Murray","ARI","36.3","24.6","271.3","1.8","0.9","8.7","50.6","0.7","0.2","24.9"
"Patrick Mahomes II","KC","38.6","25.8","307.7","2.6","0.5","3.9","18.0","0.2","0.1","24.4"
"Russell Wilson","SEA","36.7","25.7","300.9","2.6","0.5","4.4","25.6","0.1","0.2","24.1"
"Justin Herbert","LAC","35.9","24.3","283.5","2.3","0.8","4.0","20.0","0.2","0.2","21.7"
"Lamar Jackson","BAL","30.0","19.3","226.5","1.8","0.8","9.5","55.7","0.3","0.3","21.7"
"Deshaun Watson","HOU","34.1","22.6","274.6","1.8","0.9","6.0","32.9","0.2","0.1","20.9"
"Ben Roethlisberger","PIT","37.8","25.5","283.1","2.3","0.5","1.4","2.9","0.1","0.1","19.9"
"Cam Newton","NE","28.6","18.9","212.3","1.2","0.8","8.6","40.7","0.6","0.1","19.3"
"Aaron Rodgers","GB","36.6","24.6","274.4","1.9","0.4","1.9","7.4","0.1","0.1","18.5"
"Taysom Hill","NO","27.1","17.4","195.1","1.3","0.8","9.1","47.3","0.5","0.3","18.4"
"Matt Ryan","ATL","37.7","24.9","290.9","1.7","0.6","2.3","6.9","0.1","0.2","18.1"
"Joe Burrow","CIN","38.0","24.8","267.3","1.7","0.8","3.5","16.0","0.2","0.3","17.9"
"Tom Brady","TB","37.3","24.4","273.0","1.9","0.6","1.1","1.1","0.1","0.1","17.8"
"Matthew Stafford","DET","35.3","23.1","268.9","1.9","0.7","2.2","7.3","0.0","0.2","17.7"
"Carson Wentz","PHI","35.7","22.8","253.1","1.7","0.9","4.1","18.0","0.2","0.3","17.3"
"Tua Tagovailoa","MIA","34.0","21.6","232.5","1.7","0.6","3.8","15.6","0.1","0.3","16.7"
"Derek Carr","LV","33.7","22.5","249.2","1.7","0.7","3.9","11.3","0.1","0.3","16.4"
"Alex Smith","WAS","36.5","22.9","265.0","1.5","0.5","1.9","8.3","0.1","0.1","16.3"
"Kirk Cousins","MIN","28.7","19.1","233.6","1.9","0.7","1.5","5.0","0.0","0.1","16.2"
"Jared Goff","LAR","36.6","23.9","270.1","1.6","0.9","2.1","5.2","0.1","0.2","15.9"
"Ryan Tannehill","TEN","29.8","19.3","235.5","1.7","0.7","2.6","11.8","0.1","0.2","15.9"
"Philip Rivers","IND","35.1","23.4","263.5","1.7","0.9","0.8","1.6","0.0","0.1","15.8"
"Drew Lock","DEN","35.1","21.2","239.6","1.5","1.0","2.7","11.7","0.1","0.2","15.2"
