"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Larry Fitzgerald","ARI","3.5","36.7","0.1","0.0","0.0","0.0","0.0","6.3"
"Greg Ward","PHI","3.5","33.7","0.1","0.1","0.6","0.0","0.0","6.0"
"Russell Gage","ATL","3.3","34.4","0.1","0.1","0.4","0.0","0.0","5.9"
"Mecole Hardman","KC","2.2","35.4","0.2","0.2","1.3","0.0","0.0","5.8"
"Damiere Byrd","NE","2.8","35.4","0.1","0.0","0.1","0.0","0.0","5.5"
"Cam Sims","WAS","2.4","34.9","0.1","0.0","0.3","0.0","0.0","5.4"
"Quintez Cephus","DET","2.6","34.0","0.1","0.1","0.3","0.0","0.0","5.4"
"Steven Sims","WAS","2.6","30.7","0.1","0.3","2.4","0.0","0.1","5.4"
"N'Keal Harry","NE","2.8","28.5","0.2","0.2","1.8","0.0","0.1","5.3"
"Demarcus Robinson","KC","2.4","30.7","0.2","0.0","0.0","0.0","0.0","5.2"
"Julian Edelman","NE","2.3","29.1","0.1","0.6","5.0","0.0","0.0","5.2"
"Jalen Guyton","LAC","2.0","29.0","0.1","0.1","0.3","0.0","0.0","4.8"
"Dontrelle Inman","WAS","1.9","24.1","0.2","0.0","0.0","0.0","0.0","4.5"
"Phillip Dorsett II","SEA","1.5","17.4","0.3","0.2","2.2","0.0","0.0","4.5"
"Devin Duvernay","BAL","1.9","22.1","0.1","0.4","3.0","0.0","0.0","4.0"
"James Washington","PIT","1.7","22.8","0.1","0.0","0.0","0.0","0.0","3.8"
"Isaiah Wright","WAS","1.9","21.7","0.1","0.1","0.8","0.0","0.0","3.7"
"Olamide Zaccheaus","ATL","1.6","22.4","0.1","0.0","0.5","0.0","0.0","3.7"
"Andy Isabella","ARI","1.6","22.6","0.1","0.1","0.1","0.0","0.0","3.6"
"Tyron Johnson","LAC","1.4","22.5","0.1","0.2","0.9","0.0","0.0","3.6"
"Alshon Jeffery","PHI","1.7","21.5","0.1","0.0","0.1","0.0","0.0","3.6"
"Tre'Quan Smith","NO","1.5","20.0","0.1","0.0","0.1","0.0","0.0","3.5"
"DaeSean Hamilton","DEN","1.8","20.3","0.1","0.0","0.0","0.0","0.0","3.5"
