"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.4","83.6","0.7","0.0","15.6"
"Darren Waller","LV","6.1","64.9","0.5","0.1","12.5"
"Mark Andrews","BAL","4.4","52.4","0.6","0.0","10.9"
"T.J. Hockenson","DET","4.6","49.3","0.6","0.0","10.6"
"Eric Ebron","PIT","4.0","44.5","0.4","0.0","8.9"
"Hunter Henry","LAC","4.2","47.9","0.3","0.0","8.6"
"Dallas Goedert","PHI","4.0","43.2","0.3","0.0","7.9"
"Hayden Hurst","ATL","4.2","46.5","0.2","0.0","7.9"
"Noah Fant","DEN","3.9","46.2","0.2","0.0","7.5"
"Austin Hooper","CLE","4.0","42.1","0.2","0.0","7.5"
"Rob Gronkowski","TB","3.2","43.1","0.2","0.0","7.3"
"Jonnu Smith","TEN","3.2","38.8","0.2","0.0","6.8"
"Mike Gesicki","MIA","3.4","40.4","0.2","0.0","6.8"
"Logan Thomas","WAS","3.3","35.8","0.2","0.0","6.4"
"Dalton Schultz","DAL","3.6","38.7","0.1","0.1","6.4"
"Jared Cook","NO","2.8","36.5","0.2","0.0","6.3"
"Tyler Higbee","LAR","3.1","36.4","0.2","0.0","6.2"
"Zach Ertz","PHI","3.4","31.8","0.2","0.0","6.1"
"Robert Tonyan","GB","2.9","33.7","0.2","0.0","5.8"
"Trey Burton","IND","2.8","28.2","0.1","0.0","5.0"
"Tyler Eifert","JAC","2.6","28.0","0.1","0.0","4.8"
"Greg Olsen","SEA","2.3","26.3","0.2","0.0","4.8"
"Kyle Rudolph","MIN","2.3","25.1","0.2","0.0","4.6"
"Gerald Everett","LAR","2.4","26.6","0.1","0.0","4.5"
"Anthony Firkser","TEN","2.3","26.0","0.1","0.0","4.4"
"Darren Fells","HOU","2.2","24.2","0.1","0.0","4.4"
"Jordan Akins","HOU","2.3","25.7","0.1","0.0","4.2"
"Irv Smith Jr.","MIN","1.9","21.3","0.2","0.0","4.0"
"Drew Sample","CIN","2.4","22.6","0.1","0.0","4.0"
"Mo Alie-Cox","IND","1.8","23.7","0.1","0.0","3.9"
"Dan Arnold","ARI","1.7","22.2","0.1","0.0","3.6"
"Richard Rodgers","PHI","1.9","20.9","0.1","0.0","3.6"
"Ian Thomas","CAR","2.0","18.9","0.1","0.0","3.5"
"Jack Doyle","IND","1.7","18.7","0.1","0.1","3.3"
"David Njoku","CLE","1.4","16.6","0.1","0.0","3.2"
"Harrison Bryant","CLE","1.5","17.5","0.1","0.0","3.2"
"Jacob Hollister","SEA","1.6","15.1","0.1","0.0","3.1"
"Durham Smythe","MIA","1.6","15.7","0.1","0.0","3.0"
"Chris Herndon IV","NYJ","1.7","17.7","0.1","0.1","2.9"
"Ryan Izzo","NE","1.3","17.4","0.1","0.0","2.8"
"Cameron Brate","TB","1.4","13.7","0.1","0.0","2.6"
"Adam Shaheen","MIA","1.2","12.3","0.1","0.0","2.6"
"Jesse James","DET","1.4","14.7","0.1","0.0","2.6"
"Ryan Griffin","NYJ","1.4","13.2","0.1","0.0","2.5"
"Will Dissly","SEA","1.1","14.2","0.1","0.0","2.4"
"Troy Fumagalli","DEN","1.3","14.3","0.1","0.0","2.4"
"Donald Parham Jr.","LAC","1.1","13.3","0.1","0.0","2.3"
"Virgil Green","LAC","1.0","11.6","0.2","0.1","2.3"
"Foster Moreau","LV","1.2","12.0","0.1","0.0","2.3"
"Sean Culkin","BAL","1.2","13.1","0.1","0.0","2.2"
"Maxx Williams","ARI","1.2","11.8","0.1","0.0","2.2"
"Vance McDonald","PIT","1.2","12.4","0.1","0.0","2.2"
"Ben Ellefson","JAC","1.2","13.5","0.0","0.0","2.1"
"Jason Witten","LV","1.2","10.5","0.1","0.0","2.1"
"Gabe Nabers","LAC","1.3","14.1","0.0","0.0","2.0"
"Tyler Conklin","MIN","1.1","10.5","0.1","0.0","2.0"
"Xavier Grimble","BAL","1.3","13.9","0.0","0.1","1.9"
"Marcedes Lewis","GB","1.0","9.6","0.1","0.0","1.9"
"Jace Sternberger","GB","1.0","10.2","0.1","0.0","1.9"
"Luke Willson","BAL","1.1","9.7","0.1","0.0","1.8"
"Pharaoh Brown","HOU","0.9","9.8","0.1","0.0","1.8"
"Farrod Green","IND","0.7","7.4","0.1","0.0","1.7"
"Brycen Hopkins","LAR","0.7","7.3","0.1","0.0","1.7"
"Hunter Bryant","DET","0.7","7.2","0.1","0.0","1.7"
"Jason Croom","PHI","0.7","7.1","0.1","0.0","1.7"
"Caleb Wilson","PHI","0.7","6.9","0.1","0.0","1.6"
"Nick Vannett","DEN","1.0","9.3","0.0","0.0","1.5"
"Nick Keizer","KC","0.9","9.9","0.0","0.0","1.5"
"Colin Thompson","CAR","0.8","8.6","0.0","0.0","1.5"
"Mason Schreck","CIN","1.0","10.6","0.0","0.0","1.5"
"Chris Manhertz","CAR","0.8","8.8","0.0","0.0","1.5"
"Adam Trautman","NO","0.8","8.5","0.0","0.0","1.5"
"Blake Bell","DAL","1.0","9.6","0.0","0.0","1.5"
"Cethan Carter","CIN","0.9","9.1","0.0","0.0","1.5"
"Andrew Beck","DEN","0.4","5.0","0.1","0.0","1.3"
"Geoff Swaim","TEN","0.9","7.4","0.0","0.0","1.3"
"Jake Butt","DEN","0.6","6.5","0.1","0.0","1.3"
"Jeremy Sprinkle","WAS","0.7","6.9","0.0","0.0","1.3"
"Zach Gentry","PIT","0.7","7.0","0.0","0.0","1.2"
"Isaac Nauta","DET","0.7","8.2","0.0","0.0","1.2"
"Temarrick Hemingway","WAS","0.6","7.0","0.0","0.0","1.2"
"Luke Stocker","ATL","0.9","7.3","0.0","0.0","1.2"
"Ricky Seals-Jones","KC","0.4","5.7","0.1","0.0","1.1"
"Jaeden Graham","ATL","0.5","6.1","0.0","0.0","1.1"
"Tanner Hudson","TB","0.7","7.2","0.0","0.0","1.1"
"Jordan Thomas","NE","0.4","4.3","0.1","0.0","1.0"
"Jakob Johnson","NE","0.4","2.0","0.1","0.0","1.0"
"Evan Baylis","ARI","0.4","4.6","0.1","0.0","1.0"
"Johnny Mundt","LAR","0.6","6.5","0.0","0.0","0.9"
"Deon Yelder","KC","0.6","6.1","0.0","0.0","0.9"
"Eric Saubert","JAC","0.6","6.1","0.0","0.0","0.9"
"Chris Myarick","MIA","0.6","6.1","0.0","0.0","0.9"
"Noah Togiai","IND","0.3","3.7","0.0","0.0","0.8"
"Trevon Wesco","NYJ","0.4","4.3","0.0","0.0","0.7"
"Derek Carrier","LV","0.3","2.5","0.1","0.0","0.7"
"Stephen Anderson","LAC","0.4","4.3","0.0","0.0","0.6"
"Antony Auclair","TB","0.4","3.8","0.0","0.0","0.6"
"Sean McKeon","DAL","0.2","2.1","0.0","0.0","0.3"
"Stephen Carlson","CLE","0.1","1.3","0.0","0.0","0.2"
"Daniel Brown","NYJ","0.1","0.4","0.0","0.0","0.1"
""
""
