PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Darren Waller,LV,12.9,TE,7000.0,
T.J. Hockenson,DET,10.1,TE,6200.0,Q
Noah Fant,DEN,9.6,TE,5700.0,
Hunter Henry,LAC,9.1,TE,5500.0,
Austin Hooper,CLE,9.0,TE,5100.0,
Jared Cook,NO,8.5,TE,6000.0,
Eric Ebron,PIT,8.2,TE,5400.0,
Dallas Goedert,PHI,8.1,TE,5800.0,
Evan Engram,NYG,8.0,TE,5600.0,
Robert Tonyan,GB,7.7,TE,5700.0,Q
Rob Gronkowski,TB,7.6,TE,6100.0,
Mike Gesicki,MIA,7.4,TE,5300.0,
Jordan Reed,SF,6.8,TE,5000.0,
Tyler Higbee,LAR,6.4,TE,5200.0,
Logan Thomas,WAS,6.2,TE,4900.0,
Gerald Everett,LAR,5.4,TE,4500.0,
Jordan Akins,HOU,5.2,TE,4900.0,
Jake Butt,DEN,5.0,TE,4100.0,IR
Tyler Eifert,JAC,5.0,TE,4600.0,
Greg Olsen,SEA,4.9,TE,4600.0,
Harrison Bryant,CLE,4.6,TE,4800.0,
Darren Fells,HOU,4.5,TE,5000.0,
Drew Sample,CIN,4.0,TE,4400.0,
David Njoku,CLE,3.9,TE,4800.0,
Ross Dwelley,SF,3.4,TE,5000.0,
Dawson Knox,BUF,3.3,TE,4500.0,
Richard Rodgers,PHI,3.3,TE,4900.0,
Ian Thomas,CAR,3.3,TE,4400.0,
Josh Hill,NO,2.9,TE,4200.0,
Dan Arnold,ARI,2.9,TE,4300.0,
James O'Shaughnessy,JAC,2.9,TE,4100.0,
Andrew Beck,DEN,2.9,TE,4000.0,IR
Foster Moreau,LV,2.8,TE,4100.0,
Adam Trautman,NO,2.8,TE,4200.0,
Jacob Hollister,SEA,2.8,TE,4700.0,
Nick Vannett,DEN,2.8,TE,4400.0,
Jace Sternberger,GB,2.7,TE,4400.0,
Will Dissly,SEA,2.6,TE,4500.0,
Kaden Smith,NYG,2.6,TE,4100.0,Q
Tyler Kroft,BUF,2.5,TE,4700.0,
Adam Shaheen,MIA,2.5,TE,4200.0,
Cameron Brate,TB,2.5,TE,4600.0,
Jason Witten,LV,2.5,TE,4300.0,
Marcedes Lewis,GB,2.4,TE,4300.0,Q
Jesse James,DET,2.3,TE,4300.0,
Vance McDonald,PIT,2.1,TE,4200.0,IR
Maxx Williams,ARI,2.1,TE,4000.0,Q
Durham Smythe,MIA,2.1,TE,4300.0,Q
Donald Parham Jr.,LAC,2.1,TE,4400.0,
Cethan Carter,CIN,1.9,TE,4000.0,
Brycen Hopkins,LAR,1.8,TE,4000.0,
Ben Ellefson,JAC,1.8,TE,4000.0,
Isaac Nauta,DET,1.8,TE,4000.0,
Mason Schreck,CIN,1.8,TE,4000.0,
Zach Gentry,PIT,1.8,TE,4000.0,
Darrell Daniels,ARI,1.7,TE,4500.0,
Kahale Warring,HOU,1.7,TE,4000.0,IR
Jason Croom,PHI,1.7,TE,4400.0,
Colby Parkinson,SEA,1.7,TE,4000.0,
Hunter Bryant,DET,1.7,TE,4000.0,IR
Johnny Mundt,LAR,1.7,TE,4000.0,
Evan Baylis,ARI,1.6,TE,4000.0,
Taysom Hill,NO,1.5,TE,4500.0,
Chris Manhertz,CAR,1.5,TE,4000.0,
Temarrick Hemingway,WAS,1.5,TE,4000.0,
Antony Auclair,TB,1.3,TE,4000.0,
Lee Smith,BUF,1.1,TE,4100.0,
Tanner Hudson,TB,1.1,TE,4000.0,
Levine Toilolo,NYG,1.1,TE,4000.0,
Jeremy Sprinkle,WAS,1.0,TE,4000.0,
Stephen Anderson,LAC,1.0,TE,4000.0,
Pharaoh Brown,HOU,1.0,TE,4100.0,
Charlie Woerner,SF,1.0,TE,4000.0,
Daniel Helm,SF,1.0,TE,4000.0,
Derek Carrier,LV,0.9,TE,4000.0,
Eric Saubert,JAC,0.9,TE,4000.0,
Eric Tomlinson,NYG,0.8,TE,4000.0,
Marcus Baugh,WAS,0.5,TE,4000.0,
Stephen Carlson,CLE,0.3,TE,4000.0,
Reggie Gilliam,BUF,0.2,TE,4200.0,
Garrett Griffin,NO,0.0,TE,4000.0,
