"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Pittsburgh Steelers","","3.5","1.0","0.6","0.9","0.1","0.0","18.4","306.1","8.7"
"Los Angeles Rams","","2.9","1.1","0.6","0.9","0.2","0.0","18.9","345.1","8.2"
"New Orleans Saints","","2.7","1.1","0.6","0.9","0.2","0.0","19.1","321.5","8.1"
"Miami Dolphins","","2.7","1.1","0.5","0.9","0.2","0.1","19.0","307.9","8.1"
"Green Bay Packers","","2.7","1.0","0.5","0.7","0.1","0.0","18.9","326.7","7.8"
"New York Giants","","2.9","1.1","0.6","1.1","0.2","0.0","20.1","337.3","7.5"
"Seattle Seahawks","","3.0","1.0","0.8","1.1","0.1","0.0","21.3","346.2","7.4"
"Cleveland Browns","","2.7","1.0","0.7","1.1","0.2","0.0","20.7","328.8","7.1"
"Philadelphia Eagles","","3.2","0.8","0.6","0.9","0.1","0.1","25.2","366.0","7.1"
"Washington Football Team","","2.9","1.0","0.6","1.1","0.1","0.0","23.3","339.9","7.0"
"Buffalo Bills","","2.6","0.8","0.7","1.1","0.2","0.0","22.2","373.3","6.5"
"Cincinnati Bengals","","2.6","0.9","0.5","0.6","0.1","0.0","22.7","344.7","6.4"
"Dallas Cowboys","","2.9","0.7","0.6","1.0","0.1","0.0","21.3","332.2","6.3"
"Indianapolis Colts","","2.4","0.8","0.6","0.9","0.2","0.1","22.2","344.7","6.2"
"Arizona Cardinals","","2.2","0.9","0.5","0.9","0.2","0.0","21.9","347.5","6.1"
"Las Vegas Raiders","","2.3","0.9","0.5","0.8","0.1","0.0","24.9","386.9","6.0"
"Kansas City Chiefs","","2.1","0.9","0.6","0.9","0.2","0.0","24.4","360.5","6.0"
"Houston Texans","","2.7","0.7","0.5","0.7","0.1","0.0","23.4","365.2","6.0"
"Denver Broncos","","2.5","0.9","0.5","0.7","0.1","0.0","23.6","332.8","5.9"
"Detroit Lions","","2.5","0.7","0.5","0.7","0.1","0.0","24.5","381.3","5.9"
"Baltimore Ravens","","2.0","0.8","0.7","1.2","0.1","0.0","23.7","344.5","5.9"
"Carolina Panthers","","2.2","0.8","0.6","0.9","0.1","0.0","25.9","357.7","5.9"
"Minnesota Vikings","","2.4","0.8","0.5","0.7","0.1","0.0","21.7","352.5","5.8"
"New England Patriots","","2.1","0.9","0.5","0.8","0.1","0.0","22.9","392.8","5.8"
"New York Jets","","2.5","0.7","0.5","0.7","0.1","0.0","23.9","322.6","5.7"
"Los Angeles Chargers","","2.3","0.8","0.5","0.5","0.1","0.0","26.1","368.3","5.7"
"San Francisco 49ers","","2.1","0.8","0.6","0.9","0.1","0.0","23.7","361.1","5.6"
"Tennessee Titans","","1.9","0.9","0.5","0.6","0.1","0.0","24.6","371.5","5.5"
"Jacksonville Jaguars","","1.9","0.8","0.5","0.6","0.1","0.1","25.2","363.4","5.4"
"Tampa Bay Buccaneers","","2.1","0.6","0.6","0.9","0.1","0.0","27.0","370.2","5.3"
"Chicago Bears","","2.0","0.6","0.6","0.9","0.1","0.0","24.8","361.5","5.1"
"Atlanta Falcons","","1.9","0.6","0.6","0.8","0.1","0.0","25.8","376.5","4.9"
""
""
