"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","37.2","23.7","268.8","2.2","0.7","6.9","34.9","0.4","0.2","23.7"
"Kyler Murray","ARI","34.2","23.1","258.2","1.7","0.9","8.5","49.3","0.6","0.2","23.7"
"Patrick Mahomes II","KC","38.6","26.3","306.2","2.4","0.5","3.9","17.1","0.2","0.1","23.5"
"Russell Wilson","SEA","34.7","24.5","282.5","2.4","0.5","5.1","27.8","0.1","0.2","22.8"
"Deshaun Watson","HOU","35.5","23.8","286.3","2.0","0.8","6.0","32.1","0.3","0.1","22.5"
"Justin Herbert","LAC","37.2","25.1","281.4","2.1","0.6","3.4","17.4","0.2","0.2","20.9"
"Aaron Rodgers","GB","35.4","23.2","264.6","2.0","0.4","2.0","8.8","0.1","0.2","18.5"
"Derek Carr","LV","33.1","22.9","273.3","2.0","0.6","4.0","11.2","0.1","0.3","18.5"
"Cam Newton","NE","30.8","20.2","220.5","1.2","0.8","7.7","34.7","0.6","0.1","18.4"
"Tom Brady","TB","38.1","24.8","274.0","2.0","0.6","1.1","1.4","0.1","0.1","18.1"
"Daniel Jones","NYG","33.3","21.9","242.9","1.6","0.7","5.6","30.3","0.2","0.3","18.1"
"Taysom Hill","NO","29.5","19.0","202.5","1.1","0.9","8.6","44.4","0.5","0.4","17.9"
"Matt Ryan","ATL","37.9","24.7","295.3","1.7","0.9","2.1","6.7","0.1","0.2","17.8"
"Matthew Stafford","DET","35.3","22.8","272.4","1.9","0.7","2.3","7.8","0.0","0.2","17.8"
"Teddy Bridgewater","CAR","35.4","24.3","264.9","1.6","0.8","3.7","15.1","0.1","0.1","17.6"
"Ben Roethlisberger","PIT","37.5","24.6","262.5","1.9","0.6","1.4","2.8","0.0","0.1","17.2"
"Jared Goff","LAR","36.4","23.8","272.5","1.7","0.9","2.0","6.1","0.1","0.2","16.9"
"Ryan Tannehill","TEN","30.1","20.1","246.8","1.8","0.8","2.8","12.5","0.1","0.2","16.8"
"Philip Rivers","IND","36.4","24.3","271.9","1.8","0.9","0.9","2.1","0.0","0.1","16.5"
"Carson Wentz","PHI","36.0","23.1","261.3","1.5","1.2","3.6","15.9","0.2","0.3","16.1"
"Kirk Cousins","MIN","30.0","20.2","241.3","1.9","0.8","1.3","4.0","0.0","0.2","15.8"
"Tua Tagovailoa","MIA","31.9","20.8","228.1","1.5","0.5","2.4","10.3","0.1","0.2","15.5"
"Andy Dalton","DAL","33.8","21.0","239.3","1.6","0.9","2.4","9.3","0.1","0.2","15.3"
"Alex Smith","WAS","35.9","22.6","252.4","1.3","0.5","1.7","7.6","0.0","0.1","15.2"
"Baker Mayfield","CLE","30.6","19.0","229.4","1.6","0.9","2.4","10.2","0.1","0.1","15.1"
"Mitchell Trubisky","CHI","35.1","21.8","236.8","1.2","0.9","3.2","15.9","0.1","0.1","14.4"
"Sam Darnold","NYJ","32.4","19.5","227.2","1.2","1.0","3.4","14.1","0.1","0.1","13.8"
"Brandon Allen","CIN","35.4","21.7","244.5","1.1","1.0","2.9","11.0","0.1","0.2","13.3"
"Mike Glennon","JAC","35.1","22.0","235.3","1.3","0.9","1.4","5.3","0.0","0.3","13.2"
"Robert Griffin III","BAL","29.9","17.8","193.8","1.1","0.9","4.7","23.4","0.1","0.2","13.0"
"Nick Mullens","SF","32.8","21.6","243.6","1.2","1.1","1.1","2.6","0.0","0.2","12.4"
"Jameis Winston","NO","4.3","2.8","26.4","0.2","0.1","0.7","2.8","0.0","0.0","1.9"
"Jake Luton","JAC","5.4","3.5","31.3","0.1","0.1","0.2","0.4","0.0","0.0","1.6"
"Jalen Hurts","PHI","1.0","0.6","7.9","0.1","0.1","1.8","6.9","0.1","0.0","1.4"
"Nick Foles","CHI","3.7","2.3","23.8","0.1","0.1","0.2","0.2","0.0","0.0","1.2"
"Ryan Fitzpatrick","MIA","1.3","0.9","15.9","0.1","0.0","0.2","0.4","0.0","0.0","1.1"
"Marcus Mariota","LV","1.3","1.0","11.5","0.1","0.0","0.3","1.3","0.0","0.0","1.0"
"Matt Schaub","ATL","1.6","1.1","12.8","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"David Blough","DET","1.4","0.8","10.2","0.1","0.0","0.2","1.0","0.0","0.0","0.9"
"Colt McCoy","NYG","1.4","0.9","10.5","0.1","0.0","0.2","0.8","0.0","0.0","0.9"
"Chase Daniel","DET","1.4","0.8","13.4","0.1","0.0","0.2","0.5","0.0","0.0","0.9"
"Brian Hoyer","NE","0.0","0.0","17.2","0.1","0.1","0.0","0.0","0.0","0.0","0.8"
"Dwayne Haskins","WAS","1.4","0.9","13.2","0.1","0.0","0.2","0.4","0.0","0.0","0.8"
"Phillip Walker","CAR","1.5","1.0","10.5","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"C.J. Beathard","SF","3.2","2.1","18.9","0.1","0.1","0.2","0.4","0.0","0.1","0.8"
"Blaine Gabbert","TB","1.6","0.9","10.0","0.1","0.0","0.2","0.3","0.0","0.0","0.8"
"Joshua Dobbs","PIT","0.0","0.0","16.9","0.1","0.1","0.0","0.1","0.0","0.0","0.8"
"Mason Rudolph","PIT","1.5","1.0","9.4","0.1","0.0","0.2","0.3","0.0","0.0","0.8"
"Jarrett Stidham","NE","1.2","0.8","12.7","0.1","0.1","0.3","0.6","0.0","0.0","0.8"
"Tyrod Taylor","LAC","1.4","0.9","10.7","0.1","0.0","0.3","0.6","0.0","0.0","0.8"
"Chad Henne","KC","1.5","1.0","11.1","0.1","0.0","0.2","0.3","0.0","0.0","0.7"
"Nate Sudfeld","PHI","1.1","0.7","7.9","0.1","0.0","0.2","0.2","0.0","0.0","0.7"
"Matt Barkley","BUF","1.1","0.7","7.8","0.1","0.0","0.2","0.2","0.0","0.0","0.7"
"Case Keenum","CLE","1.3","0.8","11.9","0.1","0.0","0.1","0.4","0.0","0.0","0.7"
"John Wolford","LAR","1.1","0.7","7.7","0.1","0.0","0.1","0.2","0.0","0.0","0.7"
