"Player","Team","REC","YDS","TDS","FL","FPTS"
"Derek Carrier","LV","0.8","7.5","0.1","0.0","1.4"
"Charlie Woerner","SF","0.9","9.6","0.0","0.0","1.4"
"Geoff Swaim","TEN","1.0","8.5","0.0","0.0","1.4"
"Temarrick Hemingway","WAS","0.8","8.8","0.0","0.0","1.3"
"Andrew Beck","DEN","0.4","4.6","0.1","0.0","1.3"
"Jeremy Sprinkle","WAS","0.7","5.9","0.1","0.0","1.2"
"Evan Baylis","ARI","0.6","6.1","0.1","0.0","1.2"
"Eric Saubert","JAC","0.8","7.9","0.0","0.0","1.2"
"Deon Yelder","KC","0.8","8.1","0.0","0.0","1.2"
"Mason Schreck","CIN","0.6","6.9","0.0","0.0","1.0"
"Jakob Johnson","NE","0.4","1.9","0.1","0.0","1.0"
"Jake Butt","DEN","0.7","6.2","0.0","0.0","1.0"
"Antony Auclair","TB","0.7","6.2","0.0","0.0","1.0"
"Stephen Anderson","LAC","0.5","6.2","0.0","0.0","0.9"
"Eric Tomlinson","BAL","0.6","5.2","0.0","0.0","0.8"
"J.P. Holtz","CHI","0.3","3.7","0.0","0.0","0.5"
"Xavier Grimble","BAL","0.3","3.0","0.0","0.0","0.4"
"Johnny Mundt","LAR","0.2","2.4","0.0","0.0","0.4"
"Sean McKeon","DAL","0.2","2.4","0.0","0.0","0.4"
"Stephen Carlson","CLE","0.2","2.4","0.0","0.0","0.3"
"Cole Hikutini","DAL","0.0","0.0","0.0","0.0","0.0"
"Garrett Griffin","NO","0.0","0.0","0.0","0.0","0.0"
""
""
