"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","7.2","91.0","0.8","0.0","0.0","0.0","0.1","17.4"
"Tyreek Hill","KC","5.9","84.3","0.7","1.2","6.2","0.1","0.0","16.6"
"Stefon Diggs","BUF","7.0","90.0","0.6","0.2","1.4","0.0","0.0","16.3"
"Keenan Allen","LAC","7.6","85.9","0.6","0.1","0.9","0.0","0.1","16.0"
"DeAndre Hopkins","ARI","6.8","89.0","0.6","0.0","0.2","0.0","0.1","15.6"
"D.K. Metcalf","SEA","5.0","84.3","0.7","0.0","0.2","0.0","0.1","15.2"
"Justin Jefferson","MIN","5.4","89.5","0.6","0.0","0.2","0.0","0.0","15.1"
"Terry McLaurin","WAS","6.0","85.4","0.5","0.2","1.4","0.0","0.0","14.8"
"Will Fuller V","HOU","5.5","80.3","0.6","0.1","0.3","0.0","0.0","14.6"
"Tyler Lockett","SEA","5.9","75.4","0.7","0.3","1.3","0.0","0.0","14.5"
"Calvin Ridley","ATL","5.3","76.6","0.6","0.2","1.6","0.0","0.0","14.3"
"Robert Woods","LAR","5.8","68.8","0.4","1.4","10.2","0.1","0.1","13.9"
"Brandin Cooks","HOU","5.5","76.4","0.5","0.3","1.7","0.0","0.0","13.7"
"Cooper Kupp","LAR","6.1","73.0","0.5","0.2","1.4","0.0","0.0","13.6"
"D.J. Moore","CAR","5.4","79.9","0.4","0.4","3.0","0.0","0.1","13.4"
"A.J. Brown","TEN","4.5","72.3","0.6","0.1","1.2","0.0","0.0","13.2"
"Michael Thomas","NO","6.2","72.9","0.5","0.0","0.0","0.0","0.0","13.2"
"Allen Robinson II","CHI","6.0","73.5","0.5","0.1","0.1","0.0","0.0","13.1"
"Robby Anderson","CAR","6.0","72.7","0.5","0.2","0.7","0.0","0.1","12.9"
"Marvin Jones Jr.","DET","4.9","66.3","0.6","0.0","0.0","0.0","0.0","12.6"
"Diontae Johnson","PIT","5.8","67.2","0.5","0.2","1.7","0.0","0.1","12.6"
"DeVante Parker","MIA","4.8","67.5","0.6","0.0","0.0","0.0","0.0","12.5"
"Chris Godwin","TB","5.1","65.9","0.5","0.0","0.1","0.0","0.0","12.1"
"Chase Claypool","PIT","4.4","58.6","0.5","1.0","5.4","0.1","0.1","12.1"
"Mike Evans","TB","4.5","64.2","0.6","0.0","0.0","0.0","0.0","12.0"
"Cole Beasley","BUF","5.4","63.3","0.5","0.0","0.0","0.0","0.0","11.9"
"Amari Cooper","DAL","5.2","64.1","0.4","0.2","1.4","0.0","0.0","11.8"
"Jakobi Meyers","NE","5.4","68.5","0.3","0.1","0.3","0.0","0.0","11.5"
"Tyler Boyd","CIN","5.8","67.5","0.2","0.4","2.4","0.0","0.1","11.2"
"Sterling Shepard","NYG","5.0","57.3","0.4","0.3","2.3","0.0","0.0","11.1"
"Christian Kirk","ARI","4.5","58.3","0.5","0.2","1.9","0.0","0.0","11.1"
"Darius Slayton","NYG","4.0","61.1","0.5","0.1","0.5","0.0","0.0","11.0"
"Michael Pittman Jr.","IND","4.8","60.2","0.4","0.2","1.7","0.0","0.0","11.0"
"Mike Williams","LAC","3.9","60.2","0.5","0.1","0.6","0.0","0.0","11.0"
"Curtis Samuel","CAR","5.0","51.4","0.3","1.9","10.8","0.1","0.0","10.8"
"Antonio Brown","TB","5.1","60.7","0.3","0.3","1.0","0.0","0.0","10.7"
"Tee Higgins","CIN","4.4","62.6","0.3","0.4","2.4","0.0","0.0","10.3"
"Deebo Samuel","SF","4.8","58.2","0.2","1.2","6.9","0.1","0.0","10.1"
"Julio Jones","ATL","4.3","63.7","0.3","0.1","0.2","0.0","0.0","10.1"
"Tim Patrick","DEN","4.1","57.7","0.4","0.1","0.3","0.0","0.0","10.1"
"CeeDee Lamb","DAL","4.4","57.3","0.3","0.7","3.9","0.0","0.1","10.0"
"JuJu Smith-Schuster","PIT","5.0","57.0","0.3","0.0","0.1","0.0","0.0","10.0"
"Jarvis Landry","CLE","4.7","60.1","0.2","0.3","1.8","0.0","0.1","10.0"
"Corey Davis","TEN","4.5","61.3","0.3","0.1","0.5","0.0","0.0","10.0"
"Denzel Mims","NYJ","4.4","56.4","0.4","0.1","0.7","0.0","0.0","9.9"
"Jamison Crowder","NYJ","4.9","58.2","0.3","0.1","0.5","0.0","0.1","9.8"
"Laviska Shenault Jr.","JAC","4.1","49.5","0.3","1.1","6.1","0.1","0.0","9.7"
"Jerry Jeudy","DEN","4.2","61.0","0.2","0.0","0.0","0.0","0.0","9.6"
"Travis Fulgham","PHI","4.4","56.4","0.3","0.1","0.3","0.0","0.0","9.5"
"Nelson Agholor","LV","3.9","52.9","0.3","0.1","0.7","0.0","0.0","9.2"
"Keelan Cole Sr.","JAC","4.1","52.9","0.2","0.2","0.6","0.0","0.0","8.8"
"Breshad Perriman","NYJ","3.5","52.1","0.3","0.1","0.3","0.0","0.0","8.5"
"Jalen Reagor","PHI","3.8","49.4","0.2","0.2","1.1","0.0","0.0","8.0"
"Adam Thielen","MIN","4.3","56.9","0.0","0.1","0.7","0.0","0.1","8.0"
"Marvin Hall","DET","2.9","50.9","0.2","0.1","0.3","0.0","0.0","7.8"
"Josh Reynolds","LAR","3.6","47.4","0.2","0.1","0.6","0.0","0.0","7.7"
"T.Y. Hilton","IND","3.6","48.6","0.2","0.0","0.0","0.0","0.0","7.6"
"Hunter Renfrow","LV","3.5","47.1","0.2","0.0","0.1","0.0","0.0","7.6"
"Sammy Watkins","KC","3.5","45.0","0.2","0.1","0.6","0.0","0.0","7.5"
"Michael Gallup","DAL","3.2","48.8","0.2","0.0","0.0","0.0","0.0","7.5"
"Allen Lazard","GB","3.1","45.2","0.2","0.3","2.1","0.0","0.0","7.4"
"Damiere Byrd","NE","3.5","46.4","0.1","0.2","1.1","0.0","0.0","7.4"
"Rashard Higgins","CLE","3.0","44.4","0.2","0.0","0.1","0.0","0.0","7.1"
"A.J. Green","CIN","3.4","44.8","0.2","0.0","0.1","0.0","0.0","7.1"
"Marquise Brown","BAL","3.1","43.4","0.2","0.3","2.0","0.0","0.0","7.1"
"Jakeem Grant","MIA","3.6","41.4","0.2","0.3","1.6","0.0","0.0","7.0"
"Darnell Mooney","CHI","3.6","44.4","0.1","0.1","0.0","0.0","0.0","6.9"
"Russell Gage","ATL","3.9","40.7","0.2","0.1","0.4","0.0","0.0","6.9"
"Emmanuel Sanders","NO","3.5","41.5","0.2","0.1","0.4","0.0","0.0","6.9"
"KJ Hamler","DEN","3.4","41.0","0.1","0.4","2.1","0.0","0.0","6.8"
"Willie Snead IV","BAL","3.3","41.1","0.1","0.0","0.2","0.0","0.0","6.5"
"Gabriel Davis","BUF","2.9","39.2","0.2","0.1","0.2","0.0","0.0","6.5"
"Anthony Miller","CHI","3.4","39.5","0.1","0.1","0.5","0.0","0.1","6.5"
"Keke Coutee","HOU","3.1","34.1","0.2","0.2","0.5","0.0","0.1","6.3"
"Marquez Valdes-Scantling","GB","2.5","39.9","0.2","0.2","1.1","0.0","0.0","6.3"
"Zach Pascal","IND","3.1","37.3","0.2","0.1","0.4","0.0","0.0","6.2"
"Henry Ruggs III","LV","2.4","37.6","0.1","0.5","3.1","0.0","0.0","6.2"
"Andy Isabella","ARI","2.7","37.3","0.2","0.1","0.3","0.0","0.0","6.1"
"Kendrick Bourne","SF","3.0","36.9","0.1","0.0","0.0","0.0","0.0","5.9"
"Mecole Hardman","KC","2.2","36.7","0.2","0.2","1.0","0.0","0.0","5.8"
"Golden Tate","NYG","2.9","35.1","0.1","0.1","0.4","0.0","0.0","5.8"
"Richie James Jr.","SF","2.5","40.2","0.1","0.0","0.0","0.0","0.1","5.7"
"David Moore","SEA","2.2","31.9","0.2","0.3","2.3","0.0","0.0","5.6"
"N'Keal Harry","NE","3.0","30.7","0.1","0.3","1.8","0.0","0.1","5.5"
"Steven Sims","WAS","2.7","30.0","0.1","0.2","1.8","0.0","0.0","5.4"
"Dez Bryant","BAL","2.6","32.4","0.1","0.1","0.3","0.0","0.0","5.3"
"Greg Ward","PHI","3.1","29.6","0.1","0.2","0.5","0.0","0.0","5.3"
"Cordarrelle Patterson","CHI","1.8","17.2","0.0","3.7","17.7","0.1","0.0","5.3"
"Cam Sims","WAS","2.6","32.6","0.1","0.1","0.5","0.0","0.0","5.0"
"KhaDarel Hodge","CLE","2.1","30.9","0.1","0.1","0.2","0.0","0.0","5.0"
"Quintez Cephus","DET","2.3","31.3","0.1","0.1","0.3","0.0","0.0","4.8"
"Demarcus Robinson","KC","2.2","27.9","0.1","0.0","0.0","0.0","0.0","4.7"
"Olabisi Johnson","MIN","2.2","27.3","0.1","0.0","0.2","0.0","0.0","4.5"
"Collin Johnson","JAC","2.2","26.5","0.1","0.0","0.1","0.0","0.0","4.5"
"Chad Beebe","MIN","2.1","27.4","0.1","0.1","0.3","0.0","0.0","4.4"
"Terry Godwin","JAC","2.2","25.4","0.1","0.0","0.0","0.0","0.0","4.4"
"Jamal Agnew","DET","2.1","23.4","0.1","0.4","2.0","0.0","0.0","4.2"
"Isaiah Wright","WAS","2.2","24.2","0.1","0.2","1.6","0.0","0.0","4.2"
"Malcolm Perry","MIA","1.8","20.3","0.1","0.3","5.6","0.0","0.0","4.1"
"Tre'Quan Smith","NO","1.6","21.9","0.1","0.0","0.1","0.0","0.0","3.7"
"James Washington","PIT","1.6","22.7","0.1","0.0","0.0","0.0","0.0","3.6"
