"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Dalvin Cook","MIN","21.2","106.4","1.1","3.7","33.3","0.1","0.2","22.5"
"Alvin Kamara","NO","12.8","58.7","0.6","4.6","38.8","0.2","0.1","16.6"
"James Robinson","JAC","19.1","79.6","0.6","3.1","24.5","0.1","0.1","16.1"
"Aaron Jones","GB","14.1","65.9","0.7","3.4","27.0","0.2","0.1","16.1"
"Josh Jacobs","LV","19.9","81.6","0.8","2.5","17.7","0.0","0.1","16.0"
"Derrick Henry","TEN","20.3","89.2","0.8","1.3","9.6","0.0","0.1","15.2"
"Ezekiel Elliott","DAL","18.8","77.1","0.6","2.7","20.7","0.1","0.2","14.7"
"Miles Sanders","PHI","14.4","70.1","0.5","2.9","26.8","0.1","0.1","14.6"
"Nick Chubb","CLE","17.6","88.0","0.7","1.3","9.0","0.0","0.1","14.6"
"Mike Davis","CAR","14.6","60.2","0.6","3.6","24.5","0.1","0.1","14.1"
"Antonio Gibson","WAS","13.7","60.7","0.8","2.4","18.5","0.0","0.1","13.6"
"Kareem Hunt","CLE","11.7","53.3","0.5","2.8","23.4","0.2","0.0","13.0"
"Clyde Edwards-Helaire","KC","12.2","49.5","0.5","2.8","23.2","0.1","0.0","12.1"
"Wayne Gallman","NYG","12.7","54.9","0.6","2.0","14.6","0.1","0.1","12.1"
"Kenyan Drake","ARI","14.3","63.6","0.6","1.8","13.0","0.0","0.1","12.0"
"Ronald Jones II","TB","13.3","60.7","0.5","2.0","14.1","0.0","0.1","11.7"
"Giovani Bernard","CIN","13.1","50.3","0.3","3.3","27.1","0.1","0.1","11.6"
"Duke Johnson Jr.","HOU","11.4","49.0","0.3","3.3","28.8","0.1","0.1","11.5"
"Nyheim Hines","IND","8.5","33.5","0.3","4.2","34.7","0.2","0.0","11.5"
"Gus Edwards","BAL","16.4","74.9","0.5","0.8","5.9","0.0","0.1","11.5"
"Chris Carson","SEA","12.6","55.6","0.4","2.4","16.9","0.1","0.1","11.4"
"David Montgomery","CHI","14.6","56.7","0.3","2.4","18.9","0.1","0.1","10.7"
"Damien Harris","NE","14.3","64.2","0.5","0.9","6.8","0.0","0.1","10.5"
"Melvin Gordon III","DEN","13.7","51.0","0.4","2.2","15.3","0.1","0.2","10.4"
"Zack Moss","BUF","11.6","48.5","0.5","1.6","11.6","0.1","0.1","10.0"
"Kalen Ballage","LAC","11.5","45.3","0.3","2.6","19.4","0.0","0.1","9.9"
"Brian Hill","ATL","12.0","54.7","0.3","2.0","15.8","0.1","0.1","9.8"
"J.D. McKissic","WAS","5.4","23.5","0.1","4.8","36.4","0.1","0.1","9.5"
"Kerryon Johnson","DET","9.8","39.6","0.2","2.8","21.9","0.1","0.1","9.2"
"Leonard Fournette","TB","10.5","38.9","0.2","2.9","21.0","0.0","0.0","9.0"
