"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Kyler Murray",ARI,"vs. BUF","4 out of 5 stars","A+","-"
"2","Josh Allen",BUF,"at ARI","4 out of 5 stars","A","-"
"3","Aaron Rodgers",GB,"vs. JAC","5 out of 5 stars","A","-"
"4","Russell Wilson",SEA,"at LAR","2 out of 5 stars","A","-"
"5","Deshaun Watson",HOU,"at CLE","3 out of 5 stars","A","-"
"6","Carson Wentz",PHI,"at NYG","4 out of 5 stars","B+","-"
"7","Lamar Jackson",BAL,"at NE","1 out of 5 stars","B+","-"
"8","Justin Herbert",LAC,"at MIA","2 out of 5 stars","B","-"
"9","Ben Roethlisberger",PIT,"vs. CIN","4 out of 5 stars","B","-"
"10","Drew Brees",NO,"vs. SF","3 out of 5 stars","B","-"
"11","Tom Brady",TB,"at CAR","1 out of 5 stars","B","-"
"12","Jared Goff",LAR,"vs. SEA","5 out of 5 stars","B-","-"
"13","Baker Mayfield",CLE,"vs. HOU","4 out of 5 stars","C+","-"
"14","Ryan Tannehill",TEN,"vs. IND","2 out of 5 stars","C+","-"
"15","Daniel Jones",NYG,"vs. PHI","4 out of 5 stars","C","-"
"16","Tua Tagovailoa",MIA,"vs. LAC","5 out of 5 stars","C","-"
"17","Derek Carr",LV,"vs. DEN","4 out of 5 stars","C-","-"
"18","Cam Newton",NE,"vs. BAL","4 out of 5 stars","C-","-"
"19","Matthew Stafford",DET,"vs. WAS","3 out of 5 stars","D+","-"
"20","Joe Burrow",CIN,"at PIT","1 out of 5 stars","D","-"
"21","Alex Smith",WAS,"at DET","3 out of 5 stars","D-","-"
"22","Jake Luton",JAC,"at GB","2 out of 5 stars","D-","-"
"23","Teddy Bridgewater",CAR,"vs. TB","1 out of 5 stars","F","-"
"24","Drew Lock",DEN,"at LV","3 out of 5 stars","F","-"
"25","Nick Foles",CHI,"vs. MIN","4 out of 5 stars","F","-"
"26","Philip Rivers",IND,"at TEN","5 out of 5 stars","F","-"
"27","Kirk Cousins",MIN,"at CHI","1 out of 5 stars","F","-"
"28","Nick Mullens",SF,"at NO","5 out of 5 stars","F","-"
"29","Taysom Hill",NO,"vs. SF","3 out of 5 stars","F","-"
