PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Davante Adams,GB,17.9,WR,9500.0,
D.K. Metcalf,SEA,15.9,WR,8500.0,
Adam Thielen,MIN,15.0,WR,7800.0,
Keenan Allen,LAC,14.9,WR,8100.0,
A.J. Brown,TEN,14.6,WR,8200.0,
Justin Jefferson,MIN,14.5,WR,7700.0,
Robert Woods,LAR,14.4,WR,7100.0,
Allen Robinson II,CHI,14.3,WR,6900.0,
DeAndre Hopkins,ARI,14.2,WR,8000.0,
Tyler Lockett,SEA,14.0,WR,7900.0,
Brandin Cooks,HOU,13.7,WR,6500.0,
Calvin Ridley,ATL,13.6,WR,8400.0,
Cooper Kupp,LAR,13.6,WR,6600.0,
Michael Thomas,NO,13.3,WR,7200.0,
DeVante Parker,MIA,13.0,WR,6800.0,
Julio Jones,ATL,12.5,WR,8000.0,
Jarvis Landry,CLE,12.1,WR,6000.0,
Marvin Jones Jr.,DET,11.3,WR,6000.0,
Jakobi Meyers,NE,10.9,WR,5900.0,
D.J. Chark Jr.,JAC,10.9,WR,6300.0,
Michael Pittman Jr.,IND,10.4,WR,5600.0,
Denzel Mims,NYJ,10.4,WR,5500.0,
Tyler Boyd,CIN,10.3,WR,6600.0,
Corey Davis,TEN,10.2,WR,6100.0,
Nelson Agholor,LV,10.1,WR,5400.0,
Tee Higgins,CIN,9.7,WR,6400.0,
Sterling Shepard,NYG,9.3,WR,5600.0,
Darius Slayton,NYG,9.2,WR,5700.0,
Breshad Perriman,NYJ,9.1,WR,5900.0,
Christian Kirk,ARI,9.0,WR,5800.0,
Jamison Crowder,NYJ,8.9,WR,6200.0,
Mike Williams,LAC,8.7,WR,5800.0,
Allen Lazard,GB,8.1,WR,5600.0,
T.Y. Hilton,IND,8.0,WR,5600.0,
Keke Coutee,HOU,7.9,WR,4800.0,
Hunter Renfrow,LV,7.9,WR,5400.0,
Damiere Byrd,NE,7.6,WR,5300.0,
Josh Reynolds,LAR,7.6,WR,5500.0,
Rashard Higgins,CLE,7.5,WR,5400.0,
Keelan Cole Sr.,JAC,7.4,WR,5300.0,
Darnell Mooney,CHI,7.1,WR,5100.0,
Laviska Shenault Jr.,JAC,7.0,WR,5200.0,
Jalen Reagor,PHI,7.0,WR,5500.0,
Travis Fulgham,PHI,6.9,WR,6300.0,
Danny Amendola,DET,6.8,WR,5000.0,
Henry Ruggs III,LV,6.8,WR,5400.0,
Anthony Miller,CHI,6.7,WR,4900.0,
Golden Tate,NYG,6.6,WR,5200.0,
Russell Gage,ATL,6.3,WR,5200.0,
Emmanuel Sanders,NO,6.2,WR,5300.0,
Jakeem Grant,MIA,6.0,WR,4800.0,
Zach Pascal,IND,6.0,WR,4800.0,
Marquez Valdes-Scantling,GB,5.9,WR,5700.0,
A.J. Green,CIN,5.9,WR,5200.0,
Andy Isabella,ARI,5.7,WR,4800.0,
David Moore,SEA,5.6,WR,5000.0,
Cordarrelle Patterson,CHI,5.3,WR,5500.0,
Adam Humphries,TEN,5.1,WR,4900.0,
N'Keal Harry,NE,5.0,WR,5100.0,
Greg Ward,PHI,4.8,WR,4900.0,
Mohamed Sanu,DET,4.3,WR,4900.0,
Quintez Cephus,DET,4.2,WR,4700.0,
Chris Conley,JAC,4.1,WR,4700.0,
Collin Johnson,JAC,4.0,WR,5000.0,
Jalen Guyton,LAC,3.9,WR,4900.0,
Mack Hollins,MIA,3.8,WR,4600.0,
Tre'Quan Smith,NO,3.7,WR,4800.0,
Steven Mitchell Jr.,HOU,3.6,WR,4500.0,
Alshon Jeffery,PHI,3.5,WR,4800.0,
Donovan Peoples-Jones,CLE,3.4,WR,4600.0,
Olabisi Johnson,MIN,3.0,WR,4700.0,
Tyron Johnson,LAC,3.0,WR,4800.0,
Chad Beebe,MIN,2.9,WR,5300.0,
Marvin Hall,DET,2.9,WR,4900.0,
Chad Hansen,HOU,2.8,WR,4500.0,
Bryan Edwards,LV,2.8,WR,4700.0,
Braxton Berrios,NYJ,2.8,WR,4700.0,
KeeSean Johnson,ARI,2.7,WR,4700.0,
Lynn Bowden Jr.,MIA,2.6,WR,4500.0,
Van Jefferson,LAR,2.5,WR,4800.0,
Freddie Swain,SEA,2.5,WR,4700.0,
Mike Thomas,CIN,2.5,WR,4500.0,
DeMichael Harris,IND,2.4,WR,4600.0,
Equanimeous St. Brown,GB,2.4,WR,4500.0,
Kalif Raymond,TEN,2.4,WR,4600.0,
Isaiah Ford,NE,2.3,WR,4600.0,
Christian Blake,ATL,2.3,WR,4600.0,
Antonio Callaway,MIA,2.2,WR,4800.0,
Austin Mack,NYG,2.2,WR,4600.0,
Marcus Johnson,IND,2.2,WR,4600.0,
Brandon Powell,ATL,1.9,WR,4700.0,
Jeff Smith,NYJ,1.8,WR,4600.0,
Donte Moncrief,NE,1.8,WR,4500.0,
Alex Erickson,CIN,1.8,WR,4500.0,
Jamal Agnew,DET,1.8,WR,4600.0,
Cam Batson,TEN,1.8,WR,4500.0,
Gunner Olszewski,NE,1.7,WR,4500.0,
Zay Jones,LV,1.4,WR,4700.0,
Trey Quinn,JAC,1.4,WR,4500.0,
Ja'Marcus Bradley,CLE,1.4,WR,4500.0,
C.J. Board,NYG,1.1,WR,4500.0,
Nick Westbrook-Ikhine,TEN,0.9,WR,4600.0,
John Hightower,PHI,0.8,WR,4500.0,
Laquon Treadwell,ATL,0.8,WR,4500.0,
Juwan Johnson,NO,0.7,WR,4500.0,
Nsimba Webster,LAR,0.6,WR,4500.0,
Dan Chisena,MIN,0.5,WR,4500.0,
Ashton Dulin,IND,0.5,WR,4500.0,
Tommylee Lewis,NO,0.4,WR,4500.0,
DeAndre Carter,CHI,0.3,WR,4500.0,
Malik Taylor,GB,0.3,WR,4600.0,
Dante Pettis,NYG,0.3,WR,4500.0,
Trent Sherfield,ARI,0.3,WR,4500.0,
JJ Arcega-Whiteside,PHI,0.3,WR,4600.0,
K.J. Hill,LAC,0.3,WR,4500.0,
Vyncint Smith,NYJ,0.3,WR,4500.0,
K.J. Osborn,MIN,0.2,WR,4500.0,
Penny Hart,SEA,0.2,WR,4500.0,
Austin Carr,NO,0.1,WR,4500.0,
Derrick Willies,CLE,0.1,WR,4500.0,
Terry Godwin,JAC,0.1,WR,4500.0,
Damion Ratley,HOU,0.1,WR,4500.0,
