PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Russell Wilson,SEA,22.2,QB,9000.0,
Deshaun Watson,HOU,20.4,QB,8200.0,
Aaron Rodgers,GB,20.2,QB,8500.0,
Kyler Murray,ARI,20.2,QB,8700.0,
Justin Herbert,LAC,19.7,QB,7900.0,
Ryan Tannehill,TEN,18.9,QB,7800.0,
Taysom Hill,NO,18.8,QB,7700.0,
Cam Newton,NE,18.0,QB,7500.0,Q
Derek Carr,LV,17.9,QB,7200.0,
Kirk Cousins,MIN,17.8,QB,7300.0,
Philip Rivers,IND,17.1,QB,7000.0,
Jared Goff,LAR,17.0,QB,7200.0,
Mitchell Trubisky,CHI,16.6,QB,6900.0,
Matt Ryan,ATL,16.2,QB,7400.0,
Baker Mayfield,CLE,15.5,QB,7100.0,
Carson Wentz,PHI,15.3,QB,7300.0,
Matthew Stafford,DET,15.2,QB,6800.0,
Tua Tagovailoa,MIA,14.9,QB,6700.0,
Mike Glennon,JAC,13.8,QB,6800.0,
Sam Darnold,NYJ,13.6,QB,6500.0,
Colt McCoy,NYG,12.9,QB,6500.0,
Brandon Allen,CIN,11.3,QB,6000.0,
Ryan Fitzpatrick,MIA,9.3,QB,7400.0,
Jacoby Brissett,IND,1.8,QB,6000.0,
Jalen Hurts,PHI,1.5,QB,6900.0,
Nick Foles,CHI,1.0,QB,6900.0,
Marcus Mariota,LV,0.9,QB,6000.0,
Daniel Jones,NYG,0.9,QB,7100.0,D
Gardner Minshew II,JAC,0.9,QB,7000.0,
Jake Luton,JAC,0.9,QB,6400.0,
David Blough,DET,0.9,QB,6000.0,
Jarrett Stidham,NE,0.9,QB,6100.0,
Tyrod Taylor,LAC,0.8,QB,6200.0,
Jameis Winston,NO,0.8,QB,7000.0,
Nate Sudfeld,PHI,0.7,QB,6000.0,
Tim Boyle,GB,0.7,QB,6000.0,
Chase Daniel,DET,0.7,QB,6000.0,
Geno Smith,SEA,0.7,QB,6000.0,
Logan Woodside,TEN,0.7,QB,6000.0,
Matt Schaub,ATL,0.7,QB,6000.0,
Case Keenum,CLE,0.6,QB,6200.0,
Clayton Thorson,NYG,0.6,QB,6000.0,
John Wolford,LAR,0.6,QB,6000.0,
Joe Flacco,NYJ,0.5,QB,6300.0,
Ryan Finley,CIN,0.5,QB,6300.0,
Brett Hundley,ARI,0.5,QB,6000.0,
AJ McCarron,HOU,0.5,QB,6000.0,
Sean Mannion,MIN,0.5,QB,6000.0,
Jacob Eason,IND,0.2,QB,6000.0,
Dalvin Cook,MIN,22.0,RB,10500.0,
Derrick Henry,TEN,18.2,RB,10000.0,
Austin Ekeler,LAC,17.2,RB,7000.0,
James Robinson,JAC,16.6,RB,7800.0,
Aaron Jones,GB,15.6,RB,8400.0,
Alvin Kamara,NO,15.4,RB,7500.0,
Myles Gaskin,MIA,14.5,RB,5500.0,
Nick Chubb,CLE,13.7,RB,8700.0,
Chris Carson,SEA,13.5,RB,8000.0,
Miles Sanders,PHI,13.4,RB,7200.0,
Devontae Booker,LV,13.3,RB,6000.0,
David Montgomery,CHI,13.0,RB,6200.0,
Kenyan Drake,ARI,12.5,RB,6600.0,
Wayne Gallman,NYG,12.1,RB,6100.0,
Jonathan Taylor,IND,11.9,RB,6400.0,
Nyheim Hines,IND,11.0,RB,6400.0,
Damien Harris,NE,10.9,RB,5900.0,
David Johnson,HOU,10.6,RB,6200.0,
Kareem Hunt,CLE,10.4,RB,6300.0,
Giovani Bernard,CIN,10.2,RB,5800.0,
Frank Gore,NYJ,9.8,RB,5300.0,
Latavius Murray,NO,9.3,RB,5800.0,
Todd Gurley II,ATL,9.3,RB,6600.0,
James White,NE,8.7,RB,5700.0,
Adrian Peterson,DET,8.2,RB,5600.0,
Kerryon Johnson,DET,8.1,RB,5200.0,
Chase Edmonds,ARI,7.8,RB,5500.0,
Jamaal Williams,GB,7.3,RB,5200.0,
Darrell Henderson,LAR,7.2,RB,5600.0,
Duke Johnson Jr.,HOU,6.8,RB,6000.0,
Carlos Hyde,SEA,6.5,RB,5700.0,Q
Cam Akers,LAR,6.0,RB,5600.0,
Malcolm Brown,LAR,5.6,RB,5200.0,
Jalen Richard,LV,5.1,RB,4500.0,
Brian Hill,ATL,4.9,RB,5800.0,
